Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 7918, 19612, 0, 5, 2935, 
5, -284.2, 7991.4, 22192.2, 525.7, 11.27, 3523.9, 
10, -203.3, 7461.4, 23937.4, 501.6, 10.35, 4041, 
15, -145.6, 7255.6, 23908.2, 472.5, 11.49, 4761.1, 
20, -95.1, 7233.1, 23926.2, 433.1, 11.88, 5202.9, 
25, 8.5, 7270.1, 23335.2, 391.9, 12.99, 5473.2, 
30, -57.2, 7314.4, 22921.3, 372.2, 11.53, 5615.2, 
35, -20.8, 7363, 22032.7, 358.3, 10.99, 5672.9, 
40, 72.6, 7350.1, 21210.9, 348.2, 10.4, 5657.1, 
