EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,MaximumSpreadArea,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,AvailableCohorts,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanPET,MeanWD,MeanClay,MeanFineFuels,MeanLadderFuels,MeanDNBR,TotalBiomassMortality,
1, 1, 35, 184, 42.182940984275, 291, 800, Accidental, 1, 1, 20, 50, 8.9986506408, 12.6192622050827, 143.2478898, NaN, 42.18, NaN, 0, 0, 0.0770679414272308, 1, 129, 273, 7635, 
2, 2, 62, 125, 40.2976427134705, 180, 725, Accidental, 1, 1, 16, 53, 12.0429045324, 8.60752604880065, 242.09064822, NaN, 40.3, NaN, 0, 0, 0.127967178821564, 1, 222, 276, 4785, 
3, 3, 88, 161, 45.8081166442435, 331, 830, Accidental, 2, 351, 5443, 16614, 21.3164011987179, 23.5587829703368, 260.389097674644, 0, 44.85, 0.658766090566512, 50.7619147662796, 48.6313779383482, 0.149157883137719, 0.989694132458227, 127.225071225071, 244.07, 1895800, 
4, 3, 76, 329, 14.1499292393346, 346, 222, Lightning, 1, 1, 9, 30, 6.8463485784, 4.2935600550847, 340.7211207, NaN, 14.15, NaN, 0, 0, 0.150000005960464, 1, 292, 283, 2208, 
5, 8, 64, 127, 38.5963045952723, 193, 722, Accidental, 1, 1, 20, 51, 8.4674723724, 11.171576315673, 240.85857287, NaN, 38.6, NaN, 800.347237395553, 757.124332061415, 0.101675808429718, 0.482613802785481, 291, 222, 6831, 
6, 9, 31, 204, 37.5643368844957, 265, 721, Accidental, 1, 1, 16, 65, 10.6503048288, 12.7051347619608, 196.41908331, NaN, 37.56, NaN, 711.355251729773, 608.443665346009, 0.129999995231628, 0.516046537261268, 901, 237, 3778, 
7, 10, 67, 173, 42.5165117083561, 201, 824, Accidental, 1, 3, 40, 254, 10.4747271624, 15.0752983661944, 237.67469134, 0, 42.52, 0.0219922212626043, 835.324167703894, 795.883899302913, 0.129999995231628, 0.581002846912023, 56.3333333333333, 201.67, 14749, 
8, 12, 53, 277, 18.1275239464022, 138, 376, Lightning, 1, 1, 6, 24, 8.784958608, 12.273600820872, 162.5533321, NaN, 18.13, NaN, 827.82730115474, 827.82730115474, 0.0675538778305054, 0.404280932907902, 0, 220, 1433, 
9, 12, 66, 571, 41.1457836392277, 227, 753, Accidental, 1, 1, 8, 35, 9.8898828804, 9.87119469444102, 218.64994571, NaN, 41.15, NaN, 827.82730115474, 827.82730115474, 0.0601680018007755, 0.47454467039149, 290, 204, 3166, 
10, 12, 56, 131, 31.0783588701156, 245, 550, Accidental, 1, 1, 14, 56, 7.9533006012, 7.31166780054759, 16.2738032, NaN, 31.08, NaN, 885.036723677532, 847.047282522873, 0.129999995231628, 0.61641565842397, 0, 198, 5343, 
11, 12, 93, 137, 43.6979050048584, 283, 885, Accidental, 1, 5, 40, 172, 14.4396454176, 20.1415695744092, 176.008938732, 0, 42.88, 0.270560338926962, 908.265558138272, 907.510629525412, 0.113763092458248, 0.497827586459556, 0, 184.4, 15525, 
12, 14, 68, 592, 13.4629857162813, 155, 267, Accidental, 1, 1, 13, 35, 12.6298089396, 9.68454698761927, 310.8573427, NaN, 13.46, NaN, 608.359734776819, 608.333252677995, 0.0347386449575424, 0.518869571036829, 0, 248, 8102, 
13, 15, 57, 404, 7.32713099203558, 111, 207, Lightning, 1, 1, 3, 4, 13.7081013804, 14.2154413728167, 267.40829405, NaN, 7.33, NaN, 700.238852157997, 699.297745014095, 0.124095715582371, 0.0448725308933871, 200, 337, 105, 
14, 15, 46, 575, 37.1380418905452, 261, 714, Accidental, 1, 1, 33, 55, 11.2378694868, 12.7631324895949, 171.6917998, NaN, 37.14, NaN, 566.285046923254, 497.479554872653, 0.131963223218918, 0.418887120217861, 98, 321, 21304, 
