Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
5, PinuAlbi, eco1, 117, 0, 1, 0.65, 0, 140.53, 16.13, 288.59, 
5, PinuAlbi, eco2, 486, 0, 1, 0.44, 0, 174.95, 30.39, 282.77, 
5, PinuAlbi, eco3, 196, 0, 1, 0.54, 0, 147.42, 43.73, 280.56, 
5, PinuAlbi, eco4, 250, 0.01, 1, 0.55, 0.01, 134.75, 56.35, 276.86, 
5, PinuAlbi, eco5, 244, 0.37, 1, 0.51, 0.22, 106.84, 107.98, 268.52, 
5, PinuAlbi, eco6, 500, 0.97, 1, 0.39, 0.24, 103.63, 124.49, 262.6, 
5, PinuAlbi, eco7, 240, 0.98, 1, 0.52, 0.31, 82.91, 130.56, 260.98, 
5, PinuAlbi, eco8, 40, 0.97, 1, 0.65, 0.39, 67.63, 129.08, 259.8, 
5, PinuAlbi, eco9, 1, 0.93, 1, 0.69, 0.41, 62, 131, 260, 
5, PinuAlbi, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, PinuCont, eco1, 178, 0, 1, 0.65, 0, 132.78, 17, 285, 
5, PinuCont, eco2, 524, 0, 1, 0.43, 0, 171.69, 30.86, 282.18, 
5, PinuCont, eco3, 216, 0, 1, 0.55, 0, 139.22, 44.83, 280.72, 
5, PinuCont, eco4, 243, 0.02, 1, 0.52, 0.01, 133.86, 57.64, 278.17, 
5, PinuCont, eco5, 226, 0.45, 1, 0.49, 0.25, 109.03, 107.11, 272.85, 
5, PinuCont, eco6, 693, 0.99, 1, 0.39, 0.23, 100.74, 124.86, 263.01, 
5, PinuCont, eco7, 460, 0.95, 1, 0.43, 0.26, 89.36, 131.18, 261.42, 
5, PinuCont, eco8, 38, 0.88, 1, 0.6, 0.36, 69.24, 130.84, 257.82, 
5, PinuCont, eco9, 1, 0.83, 1, 0.69, 0.41, 59, 131, 260, 
5, PinuCont, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, PinuJeff, eco1, 166, 0, 1, 0.68, 0, 137.02, 16.8, 285.6, 
5, PinuJeff, eco2, 516, 0, 1, 0.47, 0, 174.89, 30.59, 282.5, 
5, PinuJeff, eco3, 213, 0.03, 1, 0.6, 0.02, 139.27, 44.54, 280.66, 
5, PinuJeff, eco4, 260, 0.12, 1, 0.58, 0.06, 134.87, 57, 277.66, 
5, PinuJeff, eco5, 224, 0.88, 1, 0.56, 0.33, 107.74, 107.18, 271.22, 
5, PinuJeff, eco6, 737, 0.85, 1, 0.46, 0.27, 102.34, 124.95, 263.12, 
5, PinuJeff, eco7, 422, 0.59, 1, 0.52, 0.3, 87.49, 131.27, 261.57, 
5, PinuJeff, eco8, 37, 0.43, 1, 0.65, 0.26, 68.7, 130.57, 258.16, 
