SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 0, 1, 0, 0, 1, 0, 0, 4128, 0, 
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3, 1, 0, 0, 1, 0, 0, 4637, 0, 0, 
4, 0, 1, 0, 0, 1, 0, 0, 9904, 0, 
5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6, 3, 0, 0, 3, 0, 0, 14581, 0, 0, 
7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
9, 1, 0, 0, 1, 0, 0, 9195, 0, 0, 
10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
11, 0, 2, 0, 0, 2, 0, 0, 39419, 0, 
12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
13, 649, 0, 0, 2, 0, 0, 5348034, 0, 0, 
14, 0, 1, 0, 0, 1, 0, 0, 9353, 0, 
15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
18, 1, 1, 0, 1, 1, 0, 11056, 21425, 0, 
19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
20, 1, 0, 0, 1, 0, 0, 4998, 0, 0, 
21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
23, 1, 1, 0, 1, 1, 0, 9248, 17999, 0, 
24, 2, 0, 0, 1, 0, 0, 17678, 0, 0, 
25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
27, 0, 1, 0, 0, 1, 0, 0, 15569, 0, 
28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, 0, 0, 1, 0, 0, 5185, 0, 0, 
31, 321, 1, 0, 1, 1, 0, 1918794, 18110, 0, 
32, 1, 1, 0, 1, 1, 0, 4505, 11239, 0, 
33, 1, 0, 0, 1, 0, 0, 16263, 0, 0, 
34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
35, 1, 1, 0, 1, 1, 0, 5723, 17970, 0, 
36, 0, 1, 0, 0, 1, 0, 0, 17805, 0, 
37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
39, 1, 1, 0, 1, 1, 0, 3324, 26445, 0, 
40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
41, 0, 1, 0, 0, 1, 0, 0, 18224, 0, 
42, 751, 1, 0, 1, 1, 0, 4434944, 13190, 0, 
43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
44, 2, 0, 0, 2, 0, 0, 6717, 0, 0, 
45, 2, 1, 0, 2, 1, 0, 13041, 10140, 0, 
46, 12, 1, 0, 2, 1, 0, 104659, 1803, 0, 
47, 1, 1, 0, 1, 1, 0, 3088, 3398, 0, 
48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
49, 11, 1, 0, 1, 1, 0, 50550, 10503, 0, 
50, 2, 0, 0, 2, 0, 0, 4112, 0, 0, 
51, 1, 1, 0, 1, 1, 0, 3905, 20086, 0, 
52, 1, 0, 0, 1, 0, 0, 11721, 0, 0, 
53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
54, 2, 0, 0, 2, 0, 0, 14165, 0, 0, 
55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
56, 0, 2, 0, 0, 1, 0, 0, 15170, 0, 
57, 777, 0, 0, 2, 0, 0, 4458198, 0, 0, 
58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
59, 1, 0, 0, 1, 0, 0, 17284, 0, 0, 
60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
61, 940, 0, 0, 3, 0, 0, 5070903, 0, 0, 
62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
63, 1, 0, 0, 1, 0, 0, 3144, 0, 0, 
64, 1, 0, 0, 1, 0, 0, 6454, 0, 0, 
65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
66, 2, 0, 0, 2, 0, 0, 18974, 0, 0, 
67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
68, 1, 0, 0, 1, 0, 0, 5048, 0, 0, 
69, 1, 1, 0, 1, 1, 0, 3383, 217, 0, 
70, 295, 0, 0, 2, 0, 0, 1368040, 0, 0, 
71, 2, 0, 0, 1, 0, 0, 13343, 0, 0, 
72, 109, 0, 0, 2, 0, 0, 588984, 0, 0, 
73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
74, 949, 0, 0, 1, 0, 0, 4668179, 0, 0, 
75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
76, 1, 0, 0, 1, 0, 0, 7990, 0, 0, 
77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
78, 1, 0, 0, 1, 0, 0, 4638, 0, 0, 
79, 3, 1, 0, 3, 1, 0, 36673, 13321, 0, 
80, 2, 0, 0, 2, 0, 0, 10261, 0, 0, 
