Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 7918, 19612, 0, 5, 2935, 
5, -223.3, 8004.2, 21827.6, 481.8, 11.08, 3526, 
10, -184.9, 7446.9, 23667.5, 486.8, 11.5, 3953.4, 
15, -197.5, 7127.5, 24984.7, 437.4, 12.81, 4256.9, 
20, -122, 7014.6, 25914.8, 414.4, 11.68, 4493.6, 
25, -105.2, 6993.9, 26568.8, 377.4, 11.47, 4717.6, 
30, -46.3, 6991.6, 26972.8, 363.9, 11.79, 4853.5, 
35, -47.8, 6942, 27209.4, 402.3, 12.8, 4854, 
40, -66, 6971, 27315.4, 359.3, 11.63, 4976.6, 
45, -31.9, 6986.7, 27211.2, 317.9, 12.56, 5074.1, 
50, -18.3, 7019.4, 27120.6, 307, 13.05, 5154.9, 
55, -7.5, 7048.6, 26954.1, 297.7, 13.22, 5208.6, 
60, 0.6, 7065.5, 26680.1, 290.3, 13.14, 5256.5, 
65, 6.3, 7073.5, 26361.5, 284.1, 12.9, 5264.8, 
70, 11.6, 7089.5, 26099.3, 279.1, 12.59, 5274.8, 
75, 14.6, 7090.2, 25764.4, 275.2, 12.23, 5274.8, 
80, 18.3, 7104.5, 25514.9, 271.7, 11.87, 5276.3, 
