Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 7918, 19612, 0, 5, 2935, 
5, -223.2, 8004.3, 21816, 481.7, 11.09, 3525.8, 
10, -184.6, 7447, 23642.8, 486.6, 11.52, 3953.9, 
15, -197.6, 7134.7, 25091.9, 437.7, 12.88, 4251.2, 
20, -122, 7019.1, 26002.4, 414.6, 11.73, 4492.6, 
25, -105.2, 6997.3, 26657, 377.6, 11.51, 4722.2, 
30, -46.3, 6981.3, 26895.9, 363.5, 11.79, 4873.7, 
35, -47.6, 6939.1, 27179.1, 402.2, 12.8, 4864, 
40, -66.3, 6959.5, 27196.3, 359, 11.6, 4988.5, 
45, -31.8, 6975, 27046.7, 317.3, 12.54, 5086.7, 
50, -18.1, 7006.9, 26926.4, 306.1, 13.02, 5156.1, 
55, -7.6, 7038, 26787.7, 297.2, 13.19, 5203.2, 
60, 0.9, 7064.8, 26603.9, 289.9, 13.13, 5243.6, 
65, 7.4, 7083.9, 26375.2, 283.6, 12.91, 5253, 
70, 12.6, 7099.8, 26133.3, 278.6, 12.61, 5268.5, 
75, 16.7, 7111.7, 25875, 274.4, 12.26, 5275.5, 
80, 19.8, 7120.8, 25613.9, 271.1, 11.9, 5280.7, 
