SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 0, 0, 845, 0, 0, 65, 0, 0, 5494687, 
2, 1, 1, 975, 1, 1, 75, 1243, 9627, 5558066, 
3, 0, 0, 832, 0, 0, 64, 0, 0, 5188178, 
4, 1, 1, 871, 1, 1, 67, 6946, 5374, 5161091, 
5, 0, 1, 1040, 0, 1, 80, 0, 12686, 6485989, 
