SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 0, 0, 1040, 0, 0, 80, 0, 0, 6935160, 
2, 1, 0, 676, 1, 0, 52, 5668, 0, 4495181, 
3, 0, 0, 1040, 0, 0, 80, 0, 0, 6252549, 
4, 0, 1, 1040, 0, 1, 80, 0, 21609, 6161392, 
5, 0, 1, 1040, 0, 1, 80, 0, 10657, 6570807, 
6, 0, 0, 1040, 0, 0, 80, 0, 0, 5987673, 
7, 1, 1, 1040, 1, 1, 80, 4258, 7252, 6181233, 
8, 0, 1, 1040, 0, 1, 80, 0, 11089, 5568935, 
9, 0, 0, 1040, 0, 0, 80, 0, 0, 5750652, 
10, 0, 0, 1040, 0, 0, 80, 0, 0, 5603604, 
11, 1, 0, 1040, 1, 0, 80, 4900, 0, 5167903, 
12, 308, 0, 1040, 1, 0, 80, 1221029, 0, 4492854, 
13, 1, 0, 1040, 1, 0, 80, 4101, 0, 5006450, 
14, 0, 0, 1040, 0, 0, 80, 0, 0, 4891727, 
15, 0, 0, 1040, 0, 0, 80, 0, 0, 4815954, 
16, 0, 1, 1040, 0, 1, 80, 0, 10354, 4113671, 
17, 0, 0, 1020, 0, 0, 80, 0, 0, 3735614, 
18, 0, 1, 1040, 0, 1, 80, 0, 14797, 4199948, 
19, 0, 0, 1040, 0, 0, 80, 0, 0, 3975567, 
20, 1, 0, 1040, 1, 0, 80, 3659, 0, 3952354, 
21, 0, 0, 1040, 0, 0, 80, 0, 0, 3964391, 
22, 1, 1, 598, 1, 1, 46, 2685, 5521, 2239275, 
23, 0, 0, 1031, 0, 0, 80, 0, 0, 3736238, 
24, 0, 0, 871, 0, 0, 67, 0, 0, 3103333, 
25, 2, 2, 975, 2, 2, 75, 12242, 13711, 3419433, 
26, 0, 0, 1040, 0, 0, 80, 0, 0, 3088661, 
27, 688, 0, 598, 5, 0, 46, 2439873, 0, 1722094, 
28, 0, 0, 897, 0, 0, 69, 0, 0, 2858391, 
29, 20, 0, 637, 2, 0, 49, 44477, 0, 1937604, 
30, 0, 1, 936, 0, 1, 72, 0, 5895, 2917672, 
31, 0, 0, 689, 0, 0, 53, 0, 0, 2119515, 
32, 90, 1, 910, 2, 1, 70, 364888, 6228, 2656229, 
33, 0, 0, 447, 0, 0, 35, 0, 0, 1632985, 
34, 0, 1, 733, 0, 1, 57, 0, 6395, 2249152, 
35, 0, 2, 871, 0, 2, 67, 0, 7272, 2540834, 
36, 1, 0, 1040, 1, 0, 80, 12055, 0, 2881854, 
37, 3, 0, 637, 3, 0, 49, 11579, 0, 1888768, 
38, 0, 0, 1040, 0, 0, 80, 0, 0, 2961651, 
39, 3, 1, 885, 1, 1, 69, 10122, 6680, 2761779, 
40, 1094, 0, 728, 2, 0, 56, 3340303, 0, 2125341, 
41, 778, 0, 611, 3, 0, 47, 2245145, 0, 1399633, 
