Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
5, PinuAlbi, eco2, 485, 0, 1, 0.43, 0, 178.02, 29.92, 282.64, 
5, PinuAlbi, eco3, 216, 0, 1, 0.51, 0, 152.46, 46.61, 282.73, 
5, PinuAlbi, eco4, 248, 0.02, 1, 0.53, 0.01, 136.11, 57.48, 277.42, 
5, PinuAlbi, eco5, 289, 0.39, 1, 0.51, 0.22, 107.46, 107.62, 270.04, 
5, PinuAlbi, eco6, 544, 0.97, 1, 0.43, 0.26, 100.5, 124.56, 262.41, 
5, PinuAlbi, eco7, 201, 0.99, 1, 0.58, 0.35, 77.16, 129.42, 259.99, 
5, PinuAlbi, eco8, 28, 0.97, 1, 0.66, 0.39, 67.11, 128.71, 260.25, 
5, PinuAlbi, eco9, 1, 0.93, 1, 0.69, 0.41, 62, 131, 260, 
5, PinuAlbi, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, PinuCont, eco1, 179, 0, 1, 0.65, 0, 134.55, 16.81, 285.56, 
5, PinuCont, eco2, 527, 0, 1, 0.43, 0, 171.54, 30.56, 282.31, 
5, PinuCont, eco3, 200, 0, 1, 0.54, 0, 139.69, 46.47, 281.33, 
5, PinuCont, eco4, 247, 0.03, 1, 0.51, 0.02, 133.82, 60.77, 279.08, 
5, PinuCont, eco5, 195, 0.45, 1, 0.5, 0.25, 107.05, 108.04, 271.64, 
5, PinuCont, eco6, 783, 0.99, 1, 0.41, 0.25, 98.82, 124.53, 262.01, 
5, PinuCont, eco7, 426, 0.94, 1, 0.47, 0.28, 86.4, 131.17, 260.95, 
5, PinuCont, eco8, 35, 0.9, 1, 0.63, 0.38, 70.06, 130.14, 262.14, 
5, PinuCont, eco9, 2, 0.83, 1, 0.67, 0.4, 63, 131, 260, 
5, PinuCont, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, PinuJeff, eco1, 153, 0, 1, 0.68, 0, 136.59, 16.78, 285.65, 
5, PinuJeff, eco2, 519, 0, 1, 0.48, 0, 173.88, 30.55, 282.38, 
5, PinuJeff, eco3, 221, 0.01, 1, 0.58, 0, 145.3, 47.67, 282.6, 
5, PinuJeff, eco4, 262, 0.16, 1, 0.58, 0.07, 133.55, 60.47, 278.63, 
5, PinuJeff, eco5, 215, 0.89, 1, 0.56, 0.33, 107.47, 107.89, 271.87, 
5, PinuJeff, eco6, 819, 0.85, 1, 0.48, 0.29, 99.85, 124.59, 262.02, 
5, PinuJeff, eco7, 376, 0.59, 1, 0.55, 0.31, 84.15, 131, 260.72, 
5, PinuJeff, eco8, 38, 0.47, 1, 0.67, 0.28, 69.16, 129.71, 261.37, 
5, PinuJeff, eco9, 2, 0.32, 1, 0.69, 0.19, 64.5, 131, 260, 
5, PinuJeff, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, PinuLamb, eco1, 114, 0, 1, 0.65, 0, 140.24, 15.96, 287.65, 
5, PinuLamb, eco2, 474, 0, 1, 0.44, 0, 175.24, 29.92, 282.68, 
5, PinuLamb, eco3, 218, 0, 1, 0.53, 0, 150.11, 44.82, 281.99, 
