EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,MaximumSpreadArea,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,AvailableCohorts,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanPET,MeanWD,MeanClay,MeanFineFuels,MeanLadderFuels,MeanDNBR,TotalBiomassMortality,
61, 62, 25, 190, 72.3818365072865, 287, 793, Accidental, 3, 864, 16376, 43592, 19.6336177066418, 19.8106160500061, 281.907039699051, 1.33256083429896, 65.59, 0.778635929826277, 782.461046631489, 729.758500532572, 0.142145835121887, 0.0773239709268522, 4.02199074074074, 343.69, 4687207, 
62, 62, 109, 146, 46.4588109694866, 292, 806, Accidental, 1, 2, 42, 109, 9.8469260028, 9.31537173291148, 267.00731482, 0, 46.46, 0.0941603746021917, 809.893819566636, 711.399618358416, 0.198493994772434, 0.0761038569516064, 0, 418.5, 16448, 
63, 63, 110, 170, 46.1923092060535, 210, 868, Accidental, 1, 1, 17, 49, 13.0357005444, 12.3396922510101, 71.7244305, NaN, 46.19, NaN, 784.349528744278, 753.594631946409, 0.129999995231628, 0.0835295924536848, 0, 336, 4166, 
64, 63, 42, 162, 41.6790738468805, 305, 692, Accidental, 1, 1, 12, 41, 6.2603930664, 3.2579823750109, 16.3856844, NaN, 41.68, NaN, 726.962920817996, 726.962920817996, 0.129999995231628, 0.0833610104069726, 0, 364, 3556, 
65, 64, 3, 166, 46.8109287650078, 252, 848, Accidental, 1, 1, 16, 35, 8.8362093456, 9.43681495928388, 55.4306546, NaN, 46.81, NaN, 784.349528744278, 711.266851508689, 0.20997716486454, 0.0826443195018689, 0, 393, 3838, 
66, 64, 6, 128, 45.3057026985965, 255, 824, Accidental, 1, 1, 3, 11, 10.7814522888, 9.65996697974522, 69.7371811, NaN, 45.31, NaN, 809.893819566636, 766.246815675888, 0.129999995231628, 0.0621394826303002, 0, 357, 1854, 
67, 66, 27, 171, 46.6290207826309, 167, 738, Accidental, 2, 284, 3950, 13454, 21.4962646208704, 24.1322339580488, 280.432373008591, 0, 45.21, 0.676406567585927, 797.150050756732, 776.361454146489, 0.137105739609876, 0.0676708599005919, 2.77112676056338, 297.64, 1011062, 
68, 66, 66, 605, 66.4932586823156, 250, 698, Accidental, 3, 642, 14596, 29090, 20.8250152262241, 18.5541748602823, 92.8794572906536, 1.32605304212168, 57.13, 0.752779299968957, 596.87366190977, 582.069802195507, 0.10790554048186, 0.11736710907652, 12.0716510903427, 373.11, 7582846, 
69, 67, 24, 159, 50.3361588526893, 280, 826, Accidental, 1, 9, 181, 342, 11.375543808, 7.97427456338511, 56.1498528, 31.25, 50.34, 0.28537910641266, 784.349528744278, 684.087546694661, 0.14992090066274, 0.0737301747332093, 0, 455.44, 67762, 
70, 68, 35, 194, 47.9202051925007, 234, 854, Accidental, 1, 1, 8, 29, 12.4322707548, 8.21375063324042, 72.6257814, NaN, 47.92, NaN, 784.349528744278, 784.349528744278, 0.129999995231628, 0.0525906474363844, 0, 333, 2846, 
71, 68, 58, 132, 43.5035536313277, 247, 752, Accidental, 1, 1, 3, 27, 7.0462529784, 5.84589498659318, 324.4916476, NaN, 43.5, NaN, 809.893819566636, 766.353129951297, 0.129999995231628, 0.072848836656605, 0, 367, 257, 
72, 69, 41, 415, 7.19011480369368, 48, 97, Lightning, 1, 1, 34, 54, 9.4848274152, 4.04034660709034, 295.8115201, NaN, 7.19, NaN, 581.57472530957, 554.636986064155, 0.139762714505196, 0.136461772638896, 52, 450, 21379, 
73, 70, 9, 182, 31.2492537770458, 171, 576, Accidental, 1, 1, 12, 53, 5.2601404176, 9.50216370763954, 67.0953214, NaN, 31.25, NaN, 784.349528744278, 753.595421602582, 0.129999995231628, 0.0698832244428453, 0, 352, 3896, 
74, 71, 6, 214, 47.7196276244561, 304, 810, Accidental, 1, 1, 41, 62, 7.2239830128, 4.39011215222564, 56.7096744, NaN, 47.72, NaN, 725.460359530498, 628.845962763465, 0.129999995231628, 0.073290260343321, 0, 523, 20946, 
