Time,ManagementArea,Prescription,Stand,EventID,StandAge,StandRank,NumberOfSites,HarvestedSites,MgBiomassRemoved,MgBioRemovedPerDamagedHa,TotalCohortsPartialHarvest,TotalCohortsCompleteHarvest,CohortsHarvested_AbieConc,CohortsHarvested_AbieMagn,CohortsHarvested_CaloDecu,CohortsHarvested_FX_R_SEED,CohortsHarvested_NOFX_R_SEED,CohortsHarvested_NOFX_NOR_SEED,CohortsHarvested_PinuAlbi,CohortsHarvested_PinuCont,CohortsHarvested_PinuJeff,CohortsHarvested_PinuLamb,CohortsHarvested_PinuMont,CohortsHarvested_PopuTrem,CohortsHarvested_TsugMert,CohortsHarvested_AcerMacr,CohortsHarvested_AescCali,CohortsHarvested_AlnuRhom,CohortsHarvested_ArbuMenz,CohortsHarvested_CornNutt,CohortsHarvested_JuniOcci,CohortsHarvested_LithDens,CohortsHarvested_PinuAtte,CohortsHarvested_PinuMono,CohortsHarvested_PinuPond,CohortsHarvested_PinuSabi,CohortsHarvested_PinuWash,CohortsHarvested_PseuMenz,CohortsHarvested_QuerChry,CohortsHarvested_QuerDoug,CohortsHarvested_QuerGarr,CohortsHarvested_QuerKell,CohortsHarvested_QuerWisl,CohortsHarvested_TaxuBrev,CohortsHarvested_TorrCali,CohortsHarvested_UmbeCali,BiomassHarvestedMg_AbieConc,BiomassHarvestedMg_AbieMagn,BiomassHarvestedMg_CaloDecu,BiomassHarvestedMg_FX_R_SEED,BiomassHarvestedMg_NOFX_R_SEED,BiomassHarvestedMg_NOFX_NOR_SEED,BiomassHarvestedMg_PinuAlbi,BiomassHarvestedMg_PinuCont,BiomassHarvestedMg_PinuJeff,BiomassHarvestedMg_PinuLamb,BiomassHarvestedMg_PinuMont,BiomassHarvestedMg_PopuTrem,BiomassHarvestedMg_TsugMert,BiomassHarvestedMg_AcerMacr,BiomassHarvestedMg_AescCali,BiomassHarvestedMg_AlnuRhom,BiomassHarvestedMg_ArbuMenz,BiomassHarvestedMg_CornNutt,BiomassHarvestedMg_JuniOcci,BiomassHarvestedMg_LithDens,BiomassHarvestedMg_PinuAtte,BiomassHarvestedMg_PinuMono,BiomassHarvestedMg_PinuPond,BiomassHarvestedMg_PinuSabi,BiomassHarvestedMg_PinuWash,BiomassHarvestedMg_PseuMenz,BiomassHarvestedMg_QuerChry,BiomassHarvestedMg_QuerDoug,BiomassHarvestedMg_QuerGarr,BiomassHarvestedMg_QuerKell,BiomassHarvestedMg_QuerWisl,BiomassHarvestedMg_TaxuBrev,BiomassHarvestedMg_TorrCali,BiomassHarvestedMg_UmbeCali,
1, 1, PIF_CC_28, 55286, 2, 0, 235, 7, 7, 1771.76, 78.12, 0, 221, 10, 4, 24, 0, 0, 0, 0, 0, 15, 13, 0, 0, 0, 1, 0, 1, 0, 2, 0, 0, 0, 2, 84, 10, 0, 46, 4, 1, 0, 4, 0, 0, 0, 0, 73.4832002162933, 15.1956000447273, 184.194000542164, 0, 0, 0, 0, 0, 81.1944002389908, 77.3388002276421, 0, 0, 0, 3.40200001001358, 0, 3.92040001153946, 0, 8.22960002422333, 0, 0, 0, 9.00720002651214, 779.835602295399, 110.678400325775, 0, 342.889201009274, 41.4396001219749, 3.40200001001358, 0, 37.5516001105309, 0, 0, 0, 0, 
1, 1, PIF_CC_28, 56212, 1, 0, 236, 8, 8, 3451.05, 133.14, 0, 364, 56, 11, 39, 0, 0, 0, 0, 0, 3, 23, 1, 0, 3, 2, 2, 0, 0, 0, 0, 0, 0, 1, 71, 0, 0, 127, 2, 5, 0, 16, 2, 0, 0, 0, 658.432801938057, 50.965200150013, 360.093601059914, 0, 0, 0, 0, 0, 11.3076000332832, 115.084800338745, 3.95280001163483, 0, 20.2824000597, 14.0940000414848, 19.6020000576973, 0, 0, 0, 0, 0, 0, 3.95280001163483, 501.649201476574, 0, 0, 1469.17800432444, 12.5388000369072, 35.7696001052856, 0, 162.453600478172, 11.6964000344276, 0, 0, 0, 
1, 1, PIF_CC_28, 56213, 3, 0, 232, 6, 6, 3683.43, 189.48, 0, 373, 60, 1, 47, 0, 0, 0, 0, 0, 11, 25, 0, 0, 1, 0, 1, 2, 4, 0, 0, 0, 0, 1, 70, 2, 0, 121, 8, 0, 0, 15, 4, 0, 0, 0, 649.944001913071, 3.30480000972748, 379.339201116562, 0, 0, 0, 0, 0, 77.2092002272606, 130.215600383282, 0, 0, 3.62880001068115, 0, 5.05440001487732, 16.8804000496864, 17.107200050354, 0, 0, 0, 0, 4.98960001468658, 469.314001381397, 7.80840002298355, 0, 1639.79640482664, 80.5788002371788, 0, 0, 180.630000531673, 17.6256000518799, 0, 0, 0, 
1, 1, PIF_CC_28, 56900, 3, 0, 234, 1, 1, 563.79, 174.01, 0, 60, 8, 0, 9, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 21, 2, 0, 0, 3, 0, 0, 0, 0, 65.3832001924515, 0, 86.151600253582, 0, 0, 0, 0, 0, 0, 4.21200001239777, 0, 0, 0, 4.14720001220703, 0, 0, 0, 0, 0, 0, 0, 0, 118.486800348759, 0, 0, 228.549600672722, 7.38720002174377, 0, 0, 49.4748001456261, 0, 0, 0, 0, 
1, 1, PIF_CC_28, 58976, 4, 0, 108, 5, 5, 3907.89, 241.23, 0, 218, 102, 71, 7, 0, 0, 0, 0, 0, 4, 14, 7, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 2817.95760829449, 770.796002268791, 51.1920001506805, 0, 0, 0, 0, 0, 23.2956000685692, 71.2152002096176, 76.7880002260208, 0, 46.9800001382828, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18.3060000538826, 0, 0, 0, 0, 0, 0, 24.3972000718117, 6.966000020504, 0, 0, 0, 
1, 1, PIF_CC_28, 59359, 4, 0, 233, 3, 3, 1939.53, 199.54, 0, 105, 57, 33, 0, 0, 0, 0, 0, 0, 5, 1, 2, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1445.23440425396, 400.237201178074, 0, 0, 0, 0, 0, 0, 30.1644000887871, 3.95280001163483, 7.12800002098083, 0, 28.3500000834465, 0, 0, 0, 3.40200001001358, 0, 0, 0, 0, 0, 8.87760002613068, 0, 0, 0, 0, 0, 0, 12.1824000358582, 0, 0, 0, 0, 
1, 3, PIF_CC_30, 53474, 7, 0, 174, 3, 3, 739.08, 76.04, 0, 82, 7, 1, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 2, 45, 2, 0, 1, 2, 0, 0, 12, 0, 0, 0, 0, 34.1496001005173, 5.18400001525879, 0, 0, 0, 0, 0, 0, 29.5812000870705, 0, 0, 0, 0, 3.75840001106262, 0, 0, 0, 0, 7.03080002069473, 0, 0, 12.7656000375748, 438.080401289463, 9.7524000287056, 0, 5.34600001573563, 10.2384000301361, 0, 0, 183.189600539207, 0, 0, 0, 0, 
1, 3, PIF_CC_30, 54190, 7, 0, 23, 3, 3, 1117.64, 114.98, 0, 105, 9, 0, 7, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 32, 6, 0, 20, 9, 0, 0, 13, 1, 0, 0, 0, 42.0552001237869, 0, 54.0756001591682, 0, 0, 0, 0, 0, 14.904000043869, 3.43440001010895, 0, 0, 0, 0, 0, 0, 0, 0, 97.264800286293, 0, 0, 0, 299.991600883007, 53.5896001577377, 0, 202.986000597477, 114.987600338459, 0, 0, 229.586400675774, 4.76280001401901, 0, 0, 0, 
1, 3, PIF_CC_30, 56648, 6, 226, 176, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 3, PIF_CC_30, 60231, 5, 0, 179, 2, 2, 1956.02, 301.86, 0, 100, 43, 25, 12, 0, 0, 0, 0, 0, 0, 15, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1408.20120414495, 357.728401052952, 80.416800236702, 0, 0, 0, 0, 0, 0, 86.1192002534866, 11.8584000349045, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.12800002098084, 0, 0, 0, 0, 0, 0, 4.56840001344681, 0, 0, 0, 0, 
