Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 7750.9, 19351.4, 0, 5, 2620.1, 
5, -89, 7729.9, 20180.1, 326.1, 16.45, 3196.1, 
10, -53.5, 7134.6, 20675, 325.6, 16.53, 3599.3, 
15, -40.9, 6810.2, 20168.5, 326.6, 17.06, 4113.4, 
20, -28, 6677.8, 19844.2, 319.7, 16.88, 4432.5, 
25, 34.9, 6617.7, 19427.1, 305.5, 17.02, 4579.4, 
