Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 7918, 19612, 0, 5, 2935, 
5, -186.3, 7890.1, 20409.1, 442.5, 10.82, 3395.1, 
10, -156, 7277.5, 21412.4, 449.8, 11.28, 3811.8, 
15, -174.8, 6921, 22234.4, 402.3, 12.8, 4033.4, 
20, -108, 6710.5, 22069.9, 379.3, 11.54, 4250.5, 
25, -91, 6461.8, 19853.5, 330.3, 11.24, 4453.6, 
30, -52.9, 6238.5, 18137, 309.6, 11.61, 4324.3, 
35, -54.7, 6041.3, 16854.6, 335.1, 13, 4055.8, 
40, -73.5, 5508.7, 11641.8, 262.4, 12.01, 3779.5, 
45, -33.4, 5073.5, 7778.1, 184.7, 14.58, 2875.5, 
50, -25, 4944.5, 7378.2, 168.9, 17.18, 2490.4, 
55, -19.3, 4779.7, 6902.8, 153.4, 19.4, 2197.4, 
60, -8.3, 4514.2, 5717.2, 127.2, 21.45, 1875.7, 
65, 0, 4309.9, 4959.1, 108, 23.21, 1635.9, 
70, 14.1, 4099.9, 3879.5, 83.8, 24.88, 1428.3, 
75, 11.7, 3990.1, 3865.8, 80.5, 25.89, 1309.4, 
80, 13.6, 3837.7, 3489.3, 70.6, 26.48, 1181.1, 
