Time,ROS,AgentName,CohortsKilled,DamagedSites,TotalBiomassMortality,MeanSeverity,ClimateThreshold1,ClimateThreshold2,
4, 1, WPBR_chronic, 1, 1, 109, 1, 32.07, 6.97, 
6, 1, JeffreyPineBeetle, 763, 133, 356610, 1, 623.87, 3.12, 
6, 3, MountainPineBeetle, 1142, 281, 372936, 1.9, 623.87, 3.12, 
6, 1, FirEngraver, 1451, 73, 887695, 1, 623.87, 3.12, 
6, 1, WPineBeetle, 1727, 218, 644229, 1.78, 623.87, 3.12, 
7, 2, JeffreyPineBeetle, 1391, 241, 653350, 1.15, 626.11, 6.43, 
7, 3, JeffreyPineBeetle, 1337, 217, 632256, 2, 626.11, 6.43, 
7, 2, MountainPineBeetle, 967, 208, 317679, 1.41, 626.11, 6.43, 
7, 2, MountainPineBeetle, 1018, 232, 312189, 2.32, 626.11, 6.43, 
7, 1, FirEngraver, 872, 49, 528269, 1, 626.11, 6.43, 
7, 2, WPineBeetle, 2916, 387, 1086218, 2.69, 626.11, 6.43, 
9, 1, JeffreyPineBeetle, 746, 122, 347826, 1, 628.76, 5.83, 
9, 2, JeffreyPineBeetle, 746, 129, 323230, 1.86, 628.76, 5.83, 
9, 3, MountainPineBeetle, 1063, 259, 333389, 1.9, 628.76, 5.83, 
9, 2, MountainPineBeetle, 951, 234, 303626, 2.19, 628.76, 5.83, 
9, 2, FirEngraver, 2501, 134, 1526821, 1, 628.76, 5.83, 
9, 3, WPineBeetle, 4396, 609, 1555472, 2.9, 628.76, 5.83, 
10, 1, JeffreyPineBeetle, 687, 106, 315124, 1, 629.96, 4.24, 
10, 1, JeffreyPineBeetle, 405, 71, 185413, 1, 629.96, 4.24, 
10, 2, MountainPineBeetle, 873, 185, 298954, 1.47, 629.96, 4.24, 
10, 1, FirEngraver, 1543, 75, 965653, 1, 629.96, 4.24, 
10, 3, WPineBeetle, 4077, 559, 1529538, 2.91, 629.96, 4.24, 
11, 3, JeffreyPineBeetle, 2306, 340, 1299268, 2, 680.49, 4.64, 
11, 2, JeffreyPineBeetle, 988, 153, 537522, 1.91, 680.49, 4.64, 
11, 2, MountainPineBeetle, 842, 182, 383062, 1.52, 680.49, 4.64, 
11, 1, MountainPineBeetle, 565, 127, 240131, 1.24, 680.49, 4.64, 
11, 1, FirEngraver, 1164, 70, 764809, 1, 680.49, 4.64, 
11, 2, FirEngraver_Peak, 16685, 1013, 10308669, 1.97, 680.49, 4.64, 
11, 1, WPineBeetle, 1348, 189, 612676, 1.79, 680.49, 4.64, 
12, 3, JeffreyPineBeetle, 2440, 358, 1293754, 2, 682.2, 7.71, 
12, 2, JeffreyPineBeetle, 833, 137, 437171, 1.91, 682.2, 7.71, 
12, 1, MountainPineBeetle, 370, 88, 174918, 1, 682.2, 7.71, 
12, 2, MountainPineBeetle, 842, 208, 358796, 2.2, 682.2, 7.71, 
12, 2, FirEngraver, 2675, 146, 1674510, 1, 682.2, 7.71, 
12, 3, FirEngraver_Peak, 23082, 1406, 14187621, 2.03, 682.2, 7.71, 
12, 1, WPineBeetle, 1595, 206, 788810, 1.79, 682.2, 7.71, 
12, 2, WPineBeetle_peak, 12183, 1732, 5873187, 2.92, 682.2, 7.71, 
13, 1, JeffreyPineBeetle, 819, 121, 431800, 1, 684.41, 5.96, 
13, 2, JeffreyPineBeetle, 781, 129, 448016, 1.9, 684.41, 5.96, 
13, 1, MountainPineBeetle, 380, 90, 169805, 1, 684.41, 5.96, 
13, 1, MountainPineBeetle, 433, 101, 185744, 1.25, 684.41, 5.96, 
13, 1, FirEngraver, 1216, 67, 775681, 1, 684.41, 5.96, 
13, 1, FirEngraver_Peak, 8302, 481, 5191043, 1, 684.41, 5.96, 
13, 3, WPineBeetle, 4159, 558, 1898726, 2.92, 684.41, 5.96, 
13, 3, WPineBeetle_peak, 15536, 2210, 7497993, 2.96, 684.41, 5.96, 
14, 2, JeffreyPineBeetle, 1402, 206, 795821, 1.42, 682.41, 6.84, 
14, 3, JeffreyPineBeetle, 1294, 218, 651918, 2.04, 682.41, 6.84, 
14, 1, MountainPineBeetle, 307, 74, 144763, 1, 682.41, 6.84, 
14, 3, MountainPineBeetle, 1434, 337, 626559, 2.92, 682.41, 6.84, 
14, 2, FirEngraver, 2501, 135, 1544772, 1, 682.41, 6.84, 
14, 2, FirEngraver_Peak, 14456, 934, 9012809, 1.96, 682.41, 6.84, 
14, 2, WPineBeetle, 2461, 320, 1152168, 2.63, 682.41, 6.84, 
14, 3, WPineBeetle_peak, 13569, 1962, 6437157, 2.96, 682.41, 6.84, 
15, 3, JeffreyPineBeetle, 2364, 346, 1359435, 2.01, 677.36, 6.26, 
15, 1, JeffreyPineBeetle, 370, 64, 197071, 1, 677.36, 6.26, 
15, 3, MountainPineBeetle, 1178, 260, 563853, 1.89, 677.36, 6.26, 
15, 3, MountainPineBeetle, 1472, 328, 639659, 2.87, 677.36, 6.26, 
15, 2, FirEngraver, 2435, 130, 1612129, 1, 677.36, 6.26, 
15, 2, FirEngraver_Peak, 15008, 929, 9405108, 1.96, 677.36, 6.26, 
15, 1, WPineBeetle, 897, 130, 407950, 1.51, 677.36, 6.26, 
15, 1, WPineBeetle_peak, 4241, 601, 2132672, 1.95, 677.36, 6.26, 
16, 3, JeffreyPineBeetle, 2338, 360, 1425031, 2.01, 655.49, 4.34, 
16, 2, JeffreyPineBeetle, 962, 147, 602821, 1.9, 655.49, 4.34, 
16, 2, MountainPineBeetle, 737, 150, 388524, 1.43, 655.49, 4.34, 
16, 2, FirEngraver, 2344, 125, 1598341, 1, 655.49, 4.34, 
16, 1, FirEngraver_Peak, 6803, 436, 4639665, 1, 655.49, 4.34, 
16, 1, WPBR_chronic, 2, 1, 48, 1, 655.49, 4.34, 
16, 2, WPineBeetle, 1925, 284, 1033159, 2.49, 655.49, 4.34, 
17, 2, JeffreyPineBeetle, 1322, 212, 804255, 1.43, 658.72, 5.3, 
17, 3, JeffreyPineBeetle, 1167, 202, 678020, 2.04, 658.72, 5.3, 
17, 3, MountainPineBeetle, 1117, 254, 666740, 1.89, 658.72, 5.3, 
17, 1, MountainPineBeetle, 436, 107, 222823, 1.09, 658.72, 5.3, 
17, 1, FirEngraver, 1158, 60, 770459, 1, 658.72, 5.3, 
17, 1, FirEngraver_Peak, 7439, 454, 4928082, 1, 658.72, 5.3, 
17, 3, WPineBeetle, 3061, 414, 1624284, 2.8, 658.72, 5.3, 
17, 3, WPineBeetle_peak, 10583, 1569, 5858113, 2.93, 658.72, 5.3, 
18, 1, JeffreyPineBeetle, 629, 99, 390479, 1, 665.91, 5.62, 
18, 1, JeffreyPineBeetle, 429, 67, 254758, 1, 665.91, 5.62, 
18, 3, MountainPineBeetle, 1074, 254, 647692, 1.92, 665.91, 5.62, 
18, 2, MountainPineBeetle, 777, 202, 403693, 2.14, 665.91, 5.62, 
18, 3, FirEngraver, 3879, 208, 2605567, 1.01, 665.91, 5.62, 
18, 2, FirEngraver_Peak, 14973, 952, 10001645, 1.96, 665.91, 5.62, 
18, 1, WPineBeetle, 766, 121, 454027, 1.36, 665.91, 5.62, 
18, 2, WPineBeetle_peak, 5802, 899, 3211367, 2.76, 665.91, 5.62, 
19, 2, JeffreyPineBeetle, 1226, 195, 728199, 1.43, 668.19, 9.69, 
19, 3, JeffreyPineBeetle, 1199, 199, 714983, 2.08, 668.19, 9.69, 
19, 3, MountainPineBeetle, 961, 213, 578226, 1.86, 668.19, 9.69, 
19, 3, MountainPineBeetle, 1117, 293, 588340, 2.88, 668.19, 9.69, 
19, 2, FirEngraver, 2399, 132, 1633195, 1, 668.19, 9.69, 
19, 2, FirEngraver_Peak, 13634, 852, 9146745, 1.96, 668.19, 9.69, 
19, 2, WPineBeetle, 1458, 216, 868275, 2.36, 668.19, 9.69, 
19, 2, WPineBeetle_peak, 5735, 859, 3219241, 2.73, 668.19, 9.69, 
20, 2, JeffreyPineBeetle, 1254, 204, 757982, 1.46, 672.59, 2.25, 
20, 2, MountainPineBeetle, 632, 142, 341988, 1.43, 672.59, 2.25, 
20, 3, FirEngraver_Peak, 19421, 1232, 13217565, 2.03, 672.59, 2.25, 
21, 1, JeffreyPineBeetle, 621, 109, 407319, 1, 728.49, 6.66, 
21, 2, JeffreyPineBeetle, 806, 136, 541769, 1.88, 728.49, 6.66, 
21, 3, MountainPineBeetle, 1055, 239, 744395, 1.87, 728.49, 6.66, 
21, 3, MountainPineBeetle, 1271, 289, 696346, 2.88, 728.49, 6.66, 
21, 3, FirEngraver, 4317, 217, 3165038, 1.02, 728.49, 6.66, 
21, 1, FirEngraver_Peak, 6583, 444, 4665128, 1, 728.49, 6.66, 
21, 2, WPineBeetle, 1519, 233, 916630, 2.4, 728.49, 6.66, 
21, 1, WPineBeetle_peak, 3671, 538, 2260642, 1.98, 728.49, 6.66, 
22, 3, JeffreyPineBeetle, 2089, 345, 1334865, 2.01, 728.57, 7.4, 
22, 3, JeffreyPineBeetle, 1307, 236, 882968, 2.05, 728.57, 7.4, 
22, 1, MountainPineBeetle, 260, 65, 180249, 1, 728.57, 7.4, 
22, 1, MountainPineBeetle, 405, 88, 267557, 1.03, 728.57, 7.4, 
22, 2, FirEngraver, 2223, 131, 1578862, 1, 728.57, 7.4, 
22, 3, FirEngraver_Peak, 20248, 1353, 14259597, 2.07, 728.57, 7.4, 
22, 2, WPineBeetle, 1644, 248, 1007696, 2.3, 728.57, 7.4, 
22, 3, WPineBeetle_peak, 8029, 1322, 4822174, 2.93, 728.57, 7.4, 
23, 1, JeffreyPineBeetle, 881, 127, 546211, 1, 726.63, 4.31, 
23, 1, JeffreyPineBeetle, 373, 65, 249566, 1, 726.63, 4.31, 
23, 1, MountainPineBeetle, 282, 72, 182631, 1, 726.63, 4.31, 
23, 2, FirEngraver, 2851, 143, 1995225, 1, 726.63, 4.31, 
23, 3, FirEngraver_Peak, 19454, 1304, 13734960, 2.07, 726.63, 4.31, 
23, 1, WPineBeetle, 744, 100, 380690, 1.38, 726.63, 4.31, 
24, 2, JeffreyPineBeetle, 1415, 218, 923111, 1.61, 725.14, 5.59, 
24, 1, JeffreyPineBeetle, 315, 62, 190428, 1, 725.14, 5.59, 
24, 2, MountainPineBeetle, 699, 155, 451142, 1.4, 725.14, 5.59, 
24, 1, MountainPineBeetle, 454, 101, 255948, 1.06, 725.14, 5.59, 
24, 1, FirEngraver, 1106, 61, 800154, 1, 725.14, 5.59, 
24, 1, FirEngraver_Peak, 7073, 480, 4886400, 1, 725.14, 5.59, 
24, 3, WPineBeetle, 1994, 313, 1117069, 2.7, 725.14, 5.59, 
24, 2, WPineBeetle_peak, 4902, 817, 3003494, 2.71, 725.14, 5.59, 
25, 1, JeffreyPineBeetle, 632, 105, 420088, 1, 723.41, 6.29, 
25, 3, JeffreyPineBeetle, 1372, 230, 914962, 2.05, 723.41, 6.29, 
25, 3, MountainPineBeetle, 1086, 231, 792103, 1.88, 723.41, 6.29, 
25, 2, MountainPineBeetle, 640, 168, 392659, 2.05, 723.41, 6.29, 
25, 3, FirEngraver, 3561, 195, 2526190, 1.01, 723.41, 6.29, 
25, 1, FirEngraver_Peak, 6819, 435, 4754783, 1, 723.41, 6.29, 
25, 1, WPineBeetle, 505, 92, 299309, 1.28, 723.41, 6.29, 
25, 2, WPineBeetle_peak, 4765, 774, 2782983, 2.7, 723.41, 6.29, 
26, 3, JeffreyPineBeetle, 2234, 351, 1608490, 2.01, 741.88, 6.8, 
26, 2, JeffreyPineBeetle, 795, 129, 668312, 1.89, 741.88, 6.8, 
26, 3, MountainPineBeetle, 984, 255, 805208, 1.89, 741.88, 6.8, 
26, 1, MountainPineBeetle, 348, 78, 231259, 1.09, 741.88, 6.8, 
26, 3, FirEngraver, 3349, 185, 2380717, 1.02, 741.88, 6.8, 
26, 3, FirEngraver_Peak, 17826, 1204, 13142816, 2.06, 741.88, 6.8, 
26, 2, WPineBeetle, 1125, 181, 673011, 2.22, 741.88, 6.8, 
26, 3, WPineBeetle_peak, 6471, 1141, 4090296, 2.86, 741.88, 6.8, 
27, 3, JeffreyPineBeetle, 2067, 319, 1476295, 2, 738.29, 4.23, 
27, 3, JeffreyPineBeetle, 1119, 183, 878980, 2.07, 738.29, 4.23, 
27, 3, MountainPineBeetle, 982, 241, 766765, 1.86, 738.29, 4.23, 
27, 1, FirEngraver, 1022, 61, 741579, 1, 738.29, 4.23, 
27, 1, FirEngraver_Peak, 5536, 393, 4125423, 1, 738.29, 4.23, 
27, 1, WPineBeetle, 348, 56, 221884, 1.21, 738.29, 4.23, 
28, 3, JeffreyPineBeetle, 2063, 318, 1479623, 2.02, 739.57, 5.73, 
28, 1, JeffreyPineBeetle, 341, 59, 270611, 1, 739.57, 5.73, 
28, 3, MountainPineBeetle, 955, 209, 753878, 1.89, 739.57, 5.73, 
28, 3, MountainPineBeetle, 1091, 248, 780493, 2.89, 739.57, 5.73, 
28, 1, FirEngraver, 1508, 70, 1108615, 1, 739.57, 5.73, 
28, 2, FirEngraver_Peak, 11993, 814, 8791832, 1.99, 739.57, 5.73, 
28, 3, WPineBeetle, 1351, 245, 765464, 2.58, 739.57, 5.73, 
28, 3, WPineBeetle_peak, 5552, 924, 3531212, 2.86, 739.57, 5.73, 
29, 3, JeffreyPineBeetle, 1883, 293, 1256358, 2.02, 736.53, 5.21, 
29, 2, JeffreyPineBeetle, 891, 147, 723878, 1.84, 736.53, 5.21, 
29, 2, MountainPineBeetle, 562, 126, 414421, 1.42, 736.53, 5.21, 
29, 2, MountainPineBeetle, 723, 186, 527639, 2.02, 736.53, 5.21, 
29, 1, FirEngraver, 1070, 62, 797329, 1, 736.53, 5.21, 
29, 3, FirEngraver_Peak, 16717, 1158, 12246627, 2.07, 736.53, 5.21, 
29, 1, WPineBeetle, 378, 72, 224062, 1.32, 736.53, 5.21, 
29, 1, WPineBeetle_peak, 1510, 259, 987205, 1.71, 736.53, 5.21, 
30, 2, JeffreyPineBeetle, 1293, 192, 956527, 1.56, 734.21, 6.31, 
30, 2, JeffreyPineBeetle, 607, 115, 388287, 1.9, 734.21, 6.31, 
30, 2, MountainPineBeetle, 639, 147, 518781, 1.39, 734.21, 6.31, 
30, 2, MountainPineBeetle, 670, 157, 394385, 2.01, 734.21, 6.31, 
30, 1, FirEngraver, 1071, 59, 780068, 1, 734.21, 6.31, 
30, 3, FirEngraver_Peak, 14645, 1021, 10915382, 2.08, 734.21, 6.31, 
30, 1, WPineBeetle, 437, 77, 290828, 1.23, 734.21, 6.31, 
30, 2, WPineBeetle_peak, 3227, 535, 2187514, 2.56, 734.21, 6.31, 
31, 3, JeffreyPineBeetle, 2106, 306, 1653850, 2.02, 738.65, 5.47, 
31, 2, JeffreyPineBeetle, 768, 142, 662781, 1.92, 738.65, 5.47, 
31, 3, MountainPineBeetle, 913, 236, 717145, 1.84, 738.65, 5.47, 
31, 2, MountainPineBeetle, 713, 186, 465367, 2.13, 738.65, 5.47, 
31, 1, FirEngraver, 1020, 56, 763640, 1, 738.65, 5.47, 
31, 1, FirEngraver_Peak, 5537, 390, 4277385, 1, 738.65, 5.47, 
31, 1, WPineBeetle, 471, 81, 297294, 1.26, 738.65, 5.47, 
31, 3, WPineBeetle_peak, 5250, 980, 3541066, 2.87, 738.65, 5.47, 
32, 3, JeffreyPineBeetle, 2122, 319, 1535262, 2.02, 751.39, 4.8, 
