Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
2010, eco2, 1, 208.92, 13.23, 0, 308, 0, 
2011, eco2, 1, 121.29, 13.47, 52, 309, 0, 
2012, eco2, 1, 210.28, 15.01, 0, 325, 0, 
2013, eco2, 1, 46.07, 15.25, 0, 328, 0, 
2014, eco2, 1, 166.61, 15.75, 0, 365, 0, 
2015, eco2, 1, 80.73, 15.68, 0, 301, 0, 
2016, eco2, 1, 203.99, 15.02, 0, 335, 0, 
2017, eco2, 1, 224.19, 15.06, 0, 365, 0, 
2018, eco2, 1, 139.93, 15.03, 0, 337, 0, 
2019, eco2, 1, 197.42, 14.64, 46, 365, 0, 
2020, eco2, 1, 82, 16.03, 0, 305, 0, 
2021, eco2, 1, 82, 16.03, 0, 305, 0, 
2022, eco2, 1, 82, 16.03, 0, 305, 0, 
2023, eco2, 1, 82, 16.03, 0, 305, 0, 
2024, eco2, 1, 82, 16.03, 0, 305, 0, 
2025, eco2, 1, 82, 16.03, 0, 305, 0, 
2026, eco2, 1, 82, 16.03, 0, 305, 0, 
2027, eco2, 1, 82, 16.03, 0, 305, 0, 
2028, eco2, 1, 82, 16.03, 0, 305, 0, 
2029, eco2, 1, 82, 16.03, 0, 305, 0, 
2030, eco2, 1, 82, 16.03, 0, 305, 0, 
2031, eco2, 1, 82, 16.03, 0, 305, 0, 
2032, eco2, 1, 82, 16.03, 0, 305, 0, 
2033, eco2, 1, 82, 16.03, 0, 305, 0, 
2034, eco2, 1, 82, 16.03, 0, 305, 0, 
2035, eco2, 1, 82, 16.03, 0, 305, 0, 
2036, eco2, 1, 82, 16.03, 0, 305, 0, 
2037, eco2, 1, 82, 16.03, 0, 305, 0, 
2038, eco2, 1, 82, 16.03, 0, 305, 0, 
2039, eco2, 1, 82, 16.03, 0, 305, 0, 
2040, eco2, 1, 82, 16.03, 0, 305, 0, 
2041, eco2, 1, 82, 16.03, 0, 305, 0, 
2042, eco2, 1, 82, 16.03, 0, 305, 0, 
2043, eco2, 1, 82, 16.03, 0, 305, 0, 
2044, eco2, 1, 82, 16.03, 0, 305, 0, 
2045, eco2, 1, 82, 16.03, 0, 305, 0, 
2046, eco2, 1, 82, 16.03, 0, 305, 0, 
2047, eco2, 1, 82, 16.03, 0, 305, 0, 
2048, eco2, 1, 82, 16.03, 0, 305, 0, 
2049, eco2, 1, 82, 16.03, 0, 305, 0, 
2010, eco3, 2, 139.26, 14.52, 0, 310, 0, 
2011, eco3, 2, 91.09, 14.47, 0, 312, 0, 
2012, eco3, 2, 129.89, 15.87, 0, 331, 0, 
2013, eco3, 2, 30.27, 16.13, 0, 332, 0, 
2014, eco3, 2, 104.61, 16.85, 0, 365, 0, 
2015, eco3, 2, 57.52, 16.55, 0, 302, 0, 
2016, eco3, 2, 131.22, 15.89, 0, 338, 0, 
2017, eco3, 2, 154.7, 15.95, 0, 365, 0, 
2018, eco3, 2, 95.22, 15.92, 0, 350, 0, 
2019, eco3, 2, 128.87, 15.49, 0, 365, 0, 
2020, eco3, 2, 63.85, 16.7, 0, 308, 0, 
2021, eco3, 2, 63.85, 16.7, 0, 308, 0, 
2022, eco3, 2, 63.85, 16.7, 0, 308, 0, 
2023, eco3, 2, 63.85, 16.7, 0, 308, 0, 
2024, eco3, 2, 63.85, 16.7, 0, 308, 0, 
2025, eco3, 2, 63.85, 16.7, 0, 308, 0, 
2026, eco3, 2, 63.85, 16.7, 0, 308, 0, 
2027, eco3, 2, 63.85, 16.7, 0, 308, 0, 
2028, eco3, 2, 63.85, 16.7, 0, 308, 0, 
2029, eco3, 2, 63.85, 16.7, 0, 308, 0, 
2030, eco3, 2, 63.85, 16.7, 0, 308, 0, 
2031, eco3, 2, 63.85, 16.7, 0, 308, 0, 
2032, eco3, 2, 63.85, 16.7, 0, 308, 0, 
