SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 4, 4051, 0, 4, 4, 0, 46588, 83387305, 0, 
2, 6089, 30272, 0, 7, 2, 0, 98637542, 454493700, 0, 
3, 4338, 43459, 0, 7, 3, 0, 26580587, 938410045, 0, 
4, 5, 2, 0, 5, 2, 0, 29704, 37966, 0, 
5, 2039, 2, 0, 8, 2, 0, 26045446, 39906, 0, 
6, 3, 1, 0, 3, 1, 0, 24176, 2468, 0, 
7, 7, 1, 0, 5, 1, 0, 61269, 1663, 0, 
8, 1, 1, 0, 1, 1, 0, 200, 8378, 0, 
9, 44505, 1, 0, 10, 1, 0, 229559317, 16713, 0, 
10, 4141, 4853, 0, 10, 1, 0, 18092847, 17315461, 0, 
11, 9321, 5, 0, 6, 5, 0, 56124664, 80124, 0, 
12, 14620, 7635, 0, 6, 1, 0, 82585994, 115349997, 0, 
13, 6248, 4060, 0, 7, 4, 0, 26976142, 55009053, 0, 
14, 10700, 5, 0, 14, 5, 0, 49755096, 60390, 0, 
15, 6459, 2, 0, 5, 2, 0, 36933245, 26105, 0, 
16, 4, 6267, 0, 4, 3, 0, 40373, 100325563, 0, 
17, 10731, 21132, 0, 5, 6, 0, 32185493, 182548729, 0, 
18, 55471, 4, 0, 6, 3, 0, 208615671, 61129, 0, 
19, 6, 2569, 0, 6, 2, 0, 34986, 42853092, 0, 
20, 3, 15601, 0, 2, 3, 0, 39445, 95048779, 0, 
21, 30, 10139, 0, 12, 4, 0, 144277, 124449868, 0, 
22, 19, 12465, 0, 11, 3, 0, 110804, 116166229, 0, 
23, 9971, 3, 0, 8, 3, 0, 34208730, 58534, 0, 
24, 17, 24671, 0, 7, 2, 0, 100605, 65257113, 0, 
25, 9, 8157, 0, 9, 1, 0, 69369, 72150297, 0, 
26, 18068, 11349, 0, 6, 5, 0, 119819901, 83825047, 0, 
27, 12432, 2, 0, 7, 2, 0, 55472420, 18854, 0, 
28, 25621, 10612, 0, 6, 4, 0, 52403506, 27136616, 0, 
29, 12, 22243, 0, 5, 3, 0, 28309, 55628649, 0, 
30, 26435, 34293, 0, 9, 3, 0, 143282460, 106558700, 0, 
31, 34358, 3, 0, 8, 3, 0, 50136761, 51098, 0, 
32, 56290, 11958, 0, 13, 5, 0, 248577639, 108255876, 0, 
33, 34809, 2320, 0, 10, 4, 0, 50136892, 13049344, 0, 
34, 3101, 26081, 0, 7, 5, 0, 2171513, 71889274, 0, 
35, 14178, 1, 0, 5, 1, 0, 19003819, 2312, 0, 
36, 2702, 30625, 0, 7, 6, 0, 1001850, 73730677, 0, 
37, 13, 1, 0, 11, 1, 0, 38468, 7210, 0, 
38, 4916, 14606, 0, 9, 1, 0, 4143415, 77325299, 0, 
39, 18, 10744, 0, 10, 7, 0, 113478, 13312218, 0, 
40, 7038, 8373, 0, 13, 4, 0, 18557430, 40104883, 0, 
