Time,EcoName,NumActiveSites,AboveGroundBiomass_AbieConc,AboveGroundBiomass_AbieMagn,AboveGroundBiomass_CaloDecu,AboveGroundBiomass_FX_R_SEED,AboveGroundBiomass_NOFX_R_SEED,AboveGroundBiomass_NOFX_NOR_SEED,AboveGroundBiomass_PinuAlbi,AboveGroundBiomass_PinuCont,AboveGroundBiomass_PinuJeff,AboveGroundBiomass_PinuLamb,AboveGroundBiomass_PinuMont,AboveGroundBiomass_PopuTrem,AboveGroundBiomass_TsugMert,AboveGroundBiomass_AcerMacr,AboveGroundBiomass_AescCali,AboveGroundBiomass_AlnuRhom,AboveGroundBiomass_ArbuMenz,AboveGroundBiomass_CornNutt,AboveGroundBiomass_JuniOcci,AboveGroundBiomass_LithDens,AboveGroundBiomass_PinuAtte,AboveGroundBiomass_PinuMono,AboveGroundBiomass_PinuPond,AboveGroundBiomass_PinuSabi,AboveGroundBiomass_PinuWash,AboveGroundBiomass_PseuMenz,AboveGroundBiomass_QuerChry,AboveGroundBiomass_QuerDoug,AboveGroundBiomass_QuerGarr,AboveGroundBiomass_QuerKell,AboveGroundBiomass_QuerWisl,AboveGroundBiomass_TaxuBrev,AboveGroundBiomass_TorrCali,AboveGroundBiomass_UmbeCali,
36, eco3, 7090, 612.086741889986, 222.269252468265, 608.884485190409, 0, 0.00846262341325811, 0, 2.78110014104372, 4.80973201692525, 245.338645980254, 1817.85063469676, 6.13131170662906, 0.344287729196051, 36.1036671368124, 61.0885754583921, 3.34880112834979, 36.1548660084626, 152.011706629055, 0.421156558533145, 34.6334273624824, 17.2265162200282, 2.19393511988716, 2.17743300423131, 3863.90042313117, 22.7574047954866, 0, 13058.3588152327, 450.293229901269, 8.50225669957687, 0.0887165021156558, 544.692665726375, 88.9224259520451, 0.095345557122708, 0.0394922425952045, 0.565021156558533, 
36, eco4, 7250, 893.645931034483, 405.257379310345, 583.545379310345, 0, 0.00413793103448276, 0, 4.02275862068965, 10.364275862069, 519.316551724138, 2169.41793103448, 13.7366896551724, 0.942620689655172, 50.7678620689655, 20.2136551724138, 0.769379310344828, 16.5253793103448, 92.0568275862069, 1.24344827586207, 40.067724137931, 7.03420689655172, 0.636827586206897, 4.26827586206897, 3401.4764137931, 16.7736551724138, 0, 9869.77117241379, 223.915172413793, 6.78110344827586, 0.150896551724138, 365.31875862069, 34.2300689655172, 0.800275862068966, 0.423586206896552, 0.962620689655172, 
36, eco5, 6494, 1753.5839236218, 418.767631659994, 721.678010471204, 0, 0, 0, 4.29904527255929, 8.78703418540191, 1146.80920850015, 2351.12134277795, 12.4323991376655, 1.16153372343702, 46.8902063443178, 3.72081921773945, 0.16399753618725, 3.25839236218047, 35.9054511857099, 1.68647982753311, 32.935940868494, 1.60840776101016, 0.222205112411457, 3.58423159839852, 1706.01339698183, 14.6167231290422, 0, 3104.17677856483, 51.4827533107484, 2.51770865414229, 0.108407761010163, 154.450723744995, 13.6575300277179, 0.340314136125654, 0.573606405913151, 0.851709270095473, 
36, eco6, 12796, 5907.50679899969, 3511.9715536105, 515.075023444826, 0, 0.0213347921225383, 0, 11.9959362300719, 24.2161613004064, 3052.20819005939, 2033.68052516411, 38.5939356048765, 2.48546420756486, 82.0221944357612, 3.10604876523914, 0.22827446076899, 2.12683651140982, 17.3139262269459, 3.22413254141919, 61.5092997811816, 2.66974054391997, 0.0104720225070334, 3.71162863394811, 513.827055329791, 13.9175523601125, 0, 313.816114410753, 18.5214910909659, 3.23038449515474, 0.711550484526414, 90.7140512660206, 25.6595811190997, 0.0153954360737731, 0.284229446702094, 0.386605189121601, 
36, eco7, 7385, 4170.6096140826, 7290.34759647935, 183.238862559242, 0.15206499661476, 0, 0, 34.5978334461747, 134.143669600542, 3416.6576844956, 1316.49492213947, 121.396885578876, 1.5113067027759, 205.641435341909, 1.34637779282329, 0.0928909952606635, 2.52904536222072, 20.5419092755586, 5.17955314827353, 109.241841570752, 0.320243737305349, 0, 2.23480027081923, 333.603249830738, 14.2605280974949, 0, 114.049289099526, 10.6521327014218, 2.10859851049425, 0.744482058226134, 65.4798916723087, 17.3710223425863, 0.0215301286391334, 0, 0, 
36, eco8, 1197, 2849.67000835422, 8242.63492063492, 154.462823725982, 0, 0, 0, 71.3851294903926, 245.830409356725, 3164.32080200501, 566.997493734336, 417.177109440267, 1.94569757727652, 381.878863826232, 0.492063492063492, 0.315789473684211, 2.39181286549708, 19.4252297410192, 1.8546365914787, 232.946532999165, 0.206349206349206, 0, 3.86967418546366, 200.299081035923, 19.4269005847953, 0, 223.570593149541, 8.69507101086048, 2.92314118629908, 0.176274018379282, 33.6591478696742, 9.94319131161236, 0, 0, 0, 
36, eco9, 47, 1074.59574468085, 3906.14893617021, 84.6170212765958, 0, 0, 0, 63.5531914893617, 515.276595744681, 3237.91489361702, 1024.10638297872, 714.170212765957, 0, 483.574468085106, 0, 0, 0, 0, 0, 148.31914893617, 0, 0, 0, 0, 2.34042553191489, 0, 413.276595744681, 0.25531914893617, 0, 0, 0, 0, 0, 0, 0, 
36, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
36, eco0, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
37, eco1, 925, 482.715675675676, 459.762162162162, 171.628108108108, 0, 0.245405405405405, 0, 7.63891891891892, 12.9805405405405, 635.592432432432, 445.686486486487, 8.79675675675676, 0.244324324324324, 53.8627027027027, 5.72648648648649, 0.472432432432432, 22.9762162162162, 101.605405405405, 0.114594594594595, 122.406486486486, 15.3308108108108, 6.15027027027027, 4.07891891891892, 2978.88864864865, 58.1827027027027, 0, 5595.16864864865, 274.339459459459, 11.8064864864865, 0.210810810810811, 272.664864864865, 74.9210810810811, 0, 0, 2.65189189189189, 
