Time,ROS,AgentName,CohortsKilled,DamagedSites,TotalBiomassMortality,MeanSeverity,ClimateThreshold1,ClimateThreshold2,
1, 1, WPBR_chronic, 2, 1, 289, 1, 0, 4.46, 
4, 1, WPBR_chronic, 3, 1, 416, 1, 171.19, 2.88, 
5, 1, WPBR_chronic, 7, 1, 1533, 1, 208.94, 2.85, 
7, 1, WPBR_chronic, 2, 1, 320, 1, 586.33, 4.35, 
8, 1, WPBR_chronic, 1, 1, 32, 1, 588.68, 3.05, 
9, 2, FirEngraver, 1709, 119, 903709, 1, 592.4, 6.03, 
12, 1, FirEngraver, 818, 72, 470629, 1, 591.76, 7.3, 
16, 2, FirEngraver, 1832, 142, 1161703, 1, 608.97, 6.79, 
17, 2, FirEngraver, 1759, 123, 1159708, 1, 605.58, 4.49, 
18, 1, FirEngraver, 964, 69, 631860, 1, 606.57, 3.47, 
20, 1, WPBR_chronic, 15, 1, 7003, 1, 601.95, 2.21, 
26, 3, JeffreyPineBeetle, 1815, 322, 1060045, 2.03, 622.52, 4.37, 
26, 3, MountainPineBeetle, 1131, 281, 875046, 2, 622.52, 4.37, 
26, 2, FirEngraver, 1761, 131, 1186708, 1, 622.52, 4.37, 
26, 1, WPineBeetle, 1338, 248, 978391, 1.84, 622.52, 4.37, 
27, 1, FirEngraver, 1017, 77, 676249, 1, 618.16, 4.44, 
28, 2, FirEngraver, 1643, 140, 1133458, 1, 619.11, 3.76, 
28, 1, WPBR_chronic, 3, 2, 4893, 1, 619.11, 3.76, 
29, 1, FirEngraver, 901, 68, 634799, 1, 618.92, 3.68, 
30, 2, FirEngraver, 2504, 167, 1692728, 1, 619.34, 3, 
31, 2, FirEngraver, 1729, 132, 1247738, 1, 613.24, 4.18, 
33, 3, FirEngraver, 2772, 199, 2047470, 1.29, 604.35, 3.54, 
34, 3, FirEngraver, 2835, 202, 1997431, 1.23, 605.65, 3.36, 
35, 3, FirEngraver, 2719, 204, 1906395, 1.24, 606.87, 5.1, 
36, 1, JeffreyPineBeetle, 638, 112, 429732, 1, 641.36, 8.36, 
36, 3, JeffreyPineBeetle, 1132, 213, 880751, 2.21, 641.36, 8.36, 
36, 3, MountainPineBeetle, 1091, 265, 1077796, 1.98, 641.36, 8.36, 
36, 1, MountainPineBeetle, 411, 103, 369193, 1.29, 641.36, 8.36, 
36, 1, FirEngraver, 930, 74, 669580, 1, 641.36, 8.36, 
36, 3, FirEngraver_Peak, 13014, 1095, 9564839, 2.26, 641.36, 8.36, 
36, 2, WPineBeetle, 2257, 415, 1831247, 2.82, 641.36, 8.36, 
37, 2, JeffreyPineBeetle, 1224, 195, 871230, 1.78, 643.9, 7.11, 
37, 1, JeffreyPineBeetle, 345, 66, 257760, 1, 643.9, 7.11, 
37, 1, MountainPineBeetle, 501, 107, 464733, 1, 643.9, 7.11, 
37, 1, MountainPineBeetle, 454, 109, 364253, 1.33, 643.9, 7.11, 
37, 1, FirEngraver, 953, 63, 682946, 1, 643.9, 7.11, 
37, 1, FirEngraver_Peak, 4195, 360, 3071879, 1, 643.9, 7.11, 
37, 2, WPineBeetle, 2542, 425, 1918100, 2.86, 643.9, 7.11, 
39, 3, JeffreyPineBeetle, 1809, 317, 1167168, 2.05, 625.52, 5.5, 
39, 3, JeffreyPineBeetle, 1003, 199, 745696, 2.19, 625.52, 5.5, 
39, 1, MountainPineBeetle, 385, 99, 426833, 1, 625.52, 5.5, 
39, 1, MountainPineBeetle, 417, 102, 390038, 1.18, 625.52, 5.5, 
39, 3, FirEngraver, 2394, 177, 1741993, 1.24, 625.52, 5.5, 
39, 1, WPineBeetle, 1141, 184, 924164, 1.81, 625.52, 5.5, 
40, 2, JeffreyPineBeetle, 1192, 219, 766377, 1.74, 635.57, 5.5, 
40, 1, JeffreyPineBeetle, 372, 70, 327465, 1, 635.57, 5.5, 
40, 3, MountainPineBeetle, 1089, 272, 1041257, 1.94, 635.57, 5.5, 
40, 3, MountainPineBeetle, 1233, 297, 1048102, 2.88, 635.57, 5.5, 
40, 1, FirEngraver, 976, 65, 726584, 1, 635.57, 5.5, 
40, 3, FirEngraver_Peak, 12107, 1011, 8798209, 2.25, 635.57, 5.5, 
40, 2, WPineBeetle, 2085, 389, 1687029, 2.76, 635.57, 5.5, 
41, 3, JeffreyPineBeetle, 1560, 297, 1146295, 2.08, 700.76, 5.73, 
41, 3, JeffreyPineBeetle, 1174, 213, 892703, 2.28, 700.76, 5.73, 
41, 2, MountainPineBeetle, 573, 146, 596576, 1.57, 700.76, 5.73, 
41, 1, MountainPineBeetle, 406, 111, 339758, 1.31, 700.76, 5.73, 
41, 1, FirEngraver, 869, 70, 650083, 1, 700.76, 5.73, 
41, 1, FirEngraver_Peak, 3758, 317, 2884655, 1, 700.76, 5.73, 
41, 3, WPineBeetle, 2893, 525, 2450547, 2.94, 700.76, 5.73, 
41, 1, WPineBeetle_peak, 4540, 851, 3818862, 2.56, 700.76, 5.73, 
