SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 0, 0, 1742, 0, 0, 134, 0, 0, 10356591, 
2, 0, 0, 1456, 0, 0, 112, 0, 0, 8972542, 
3, 0, 0, 2080, 0, 0, 160, 0, 0, 12456383, 
4, 1, 0, 2072, 1, 0, 160, 4842, 0, 11416930, 
5, 0, 0, 2080, 0, 0, 160, 0, 0, 10398179, 
6, 0, 1, 1872, 0, 1, 144, 0, 8938, 9175874, 
7, 1, 0, 1378, 1, 0, 106, 962, 0, 6548199, 
8, 2, 1, 2072, 2, 1, 160, 4720, 3705, 9480067, 
9, 1, 0, 2080, 1, 0, 160, 2591, 0, 8810249, 
10, 1, 1, 2080, 1, 1, 160, 2908, 1516, 8948115, 
11, 0, 1, 1586, 0, 1, 122, 0, 3896, 5566750, 
12, 481, 0, 1378, 3, 0, 106, 1618481, 0, 4674912, 
13, 0, 0, 2080, 0, 0, 160, 0, 0, 7281126, 
14, 0, 0, 2080, 0, 0, 160, 0, 0, 6812277, 
15, 0, 1, 1768, 0, 1, 136, 0, 4168, 5447705, 
16, 2, 0, 2080, 2, 0, 160, 8123, 0, 6611931, 
17, 0, 1, 1482, 0, 1, 114, 0, 14471, 4483254, 
18, 0, 0, 1586, 0, 0, 122, 0, 0, 4550045, 
19, 3, 1, 2080, 3, 1, 160, 15518, 4689, 6235469, 
20, 525, 0, 1768, 1, 0, 136, 1563552, 0, 4820294, 
21, 1092, 0, 1976, 2, 0, 152, 2760114, 0, 4825315, 
22, 0, 0, 1430, 0, 0, 110, 0, 0, 3513820, 
23, 0, 1, 2080, 0, 1, 160, 0, 4352, 4636623, 
24, 1, 0, 2080, 1, 0, 160, 3688, 0, 4899074, 
25, 3, 1, 1664, 1, 1, 128, 11992, 2082, 3921281, 
26, 0, 2, 1664, 0, 2, 128, 0, 6572, 3564096, 
27, 1, 0, 1300, 1, 0, 100, 428, 0, 2804575, 
28, 1, 0, 1534, 1, 0, 118, 1438, 0, 3194434, 
29, 0, 0, 1768, 0, 0, 136, 0, 0, 3671384, 
30, 3302, 0, 1846, 3, 0, 142, 7737383, 0, 3850890, 
31, 1, 0, 936, 1, 0, 72, 1442, 0, 1601070, 
32, 1, 0, 1014, 1, 0, 78, 1750, 0, 1815953, 
33, 0, 0, 1950, 0, 0, 150, 0, 0, 3342559, 
34, 1, 1, 1682, 1, 1, 130, 1216, 1950, 3155347, 
35, 0, 1, 1586, 0, 1, 122, 0, 4998, 2526998, 
36, 1, 1, 2080, 1, 1, 160, 557, 6687, 3634175, 
37, 0, 0, 1300, 0, 0, 100, 0, 0, 2321394, 
38, 1728, 0, 910, 1, 0, 70, 3382086, 0, 1574178, 
39, 0, 0, 1716, 0, 0, 132, 0, 0, 3045996, 
40, 1, 1, 2080, 1, 1, 160, 514, 3261, 3444661, 
41, 0, 0, 2045, 0, 0, 158, 0, 0, 3745046, 
