Time,ROS,AgentName,CohortsKilled,DamagedSites,TotalBiomassMortality,MeanSeverity,ClimateThreshold1,ClimateThreshold2,
2, 1, WPBR_chronic, 1, 1, 173, 1, 26.02, 4.03, 
4, 1, WPBR_chronic, 2, 1, 257, 1, 62.93, 2.88, 
6, 1, WPBR_chronic, 5, 2, 1891, 1, 586.72, 3.44, 
11, 1, WPBR_chronic, 2, 1, 571, 1, 590.66, 0.95, 
12, 1, FirEngraver, 1449, 82, 902340, 1, 590.99, 7.3, 
13, 1, FirEngraver, 1291, 74, 741582, 1, 590.24, 4.51, 
15, 1, WPBR_chronic, 2, 1, 310, 1, 590.15, 1.91, 
16, 2, FirEngraver, 2849, 164, 1877455, 1, 609.1, 6.79, 
17, 3, FirEngraver, 4351, 241, 2808977, 1.04, 608.24, 4.49, 
18, 2, FirEngraver, 2781, 154, 1766021, 1, 608.41, 3.47, 
18, 1, WPBR_chronic, 1, 1, 82, 1, 608.41, 3.47, 
26, 2, JeffreyPineBeetle, 1407, 220, 868115, 1.61, 622.81, 4.37, 
26, 3, MountainPineBeetle, 1385, 298, 947131, 2.03, 622.81, 4.37, 
26, 3, FirEngraver, 4707, 262, 3171688, 1.07, 622.81, 4.37, 
26, 1, WPineBeetle, 2130, 288, 1281987, 1.85, 622.81, 4.37, 
27, 2, JeffreyPineBeetle, 1692, 252, 1025090, 1.64, 621.03, 4.44, 
27, 2, MountainPineBeetle, 940, 196, 629533, 1.66, 621.03, 4.44, 
27, 2, FirEngraver, 3340, 184, 2283133, 1, 621.03, 4.44, 
27, 2, WPineBeetle, 3638, 484, 2227876, 2.89, 621.03, 4.44, 
28, 3, JeffreyPineBeetle, 2281, 362, 1396554, 2.02, 621.41, 3.76, 
28, 1, MountainPineBeetle, 444, 101, 284228, 1, 621.41, 3.76, 
28, 3, FirEngraver, 4038, 248, 2742560, 1.07, 621.41, 3.76, 
28, 1, WPineBeetle, 1505, 215, 942633, 1.84, 621.41, 3.76, 
29, 2, JeffreyPineBeetle, 1756, 255, 1063663, 1.69, 621.26, 3.68, 
29, 1, MountainPineBeetle, 374, 94, 265935, 1, 621.26, 3.68, 
29, 1, FirEngraver, 1176, 81, 834612, 1, 621.26, 3.68, 
29, 3, WPineBeetle, 4783, 654, 2941025, 2.94, 621.26, 3.68, 
30, 2, JeffreyPineBeetle, 1626, 244, 942335, 1.64, 621.46, 3, 
30, 1, MountainPineBeetle, 414, 90, 269192, 1, 621.46, 3, 
30, 3, FirEngraver, 4511, 252, 3143912, 1.09, 621.46, 3, 
30, 3, WPineBeetle, 4874, 668, 2877162, 2.94, 621.46, 3, 
31, 2, FirEngraver, 3029, 174, 2092328, 1, 613.25, 4.18, 
33, 1, FirEngraver, 1891, 105, 1279634, 1, 609.07, 3.54, 
34, 1, FirEngraver, 1665, 104, 1111290, 1, 609.21, 3.36, 
35, 2, FirEngraver, 3232, 180, 2317627, 1, 609.54, 5.1, 
36, 1, JeffreyPineBeetle, 859, 121, 508886, 1, 642.11, 8.36, 
36, 1, JeffreyPineBeetle, 502, 83, 316229, 1, 642.11, 8.36, 
36, 3, MountainPineBeetle, 1483, 323, 1136735, 1.98, 642.11, 8.36, 
36, 3, MountainPineBeetle, 1617, 336, 1046179, 2.93, 642.11, 8.36, 
36, 2, FirEngraver, 3024, 186, 1979227, 1, 642.11, 8.36, 
36, 1, FirEngraver_Peak, 7746, 517, 5402793, 1, 642.11, 8.36, 
36, 1, WPineBeetle, 1847, 241, 1233480, 1.83, 642.11, 8.36, 
37, 3, JeffreyPineBeetle, 2364, 373, 1469089, 2.03, 643.24, 7.11, 
37, 2, JeffreyPineBeetle, 1070, 181, 724944, 1.95, 643.24, 7.11, 
37, 2, MountainPineBeetle, 965, 213, 697640, 1.53, 643.24, 7.11, 
37, 3, MountainPineBeetle, 1345, 329, 859261, 2.92, 643.24, 7.11, 
37, 3, FirEngraver, 4947, 284, 3467039, 1.1, 643.24, 7.11, 
37, 2, FirEngraver_Peak, 15695, 1027, 11120459, 2, 643.24, 7.11, 
37, 1, WPBR_chronic, 5, 1, 825, 1, 643.24, 7.11, 
37, 1, WPineBeetle, 1460, 227, 933922, 1.87, 643.24, 7.11, 
39, 1, JeffreyPineBeetle, 822, 134, 527747, 1, 637.33, 5.5, 
39, 2, JeffreyPineBeetle, 1138, 175, 728767, 1.98, 637.33, 5.5, 
39, 3, MountainPineBeetle, 1530, 340, 1116544, 1.97, 637.33, 5.5, 
39, 2, MountainPineBeetle, 987, 223, 713615, 2.3, 637.33, 5.5, 
39, 2, FirEngraver, 3180, 191, 2236923, 1, 637.33, 5.5, 
39, 1, FirEngraver_Peak, 6720, 468, 4821814, 1, 637.33, 5.5, 
39, 1, WPBR_chronic, 3, 1, 4052, 1, 637.33, 5.5, 
39, 2, WPineBeetle, 2817, 432, 1848816, 2.78, 637.33, 5.5, 
40, 2, JeffreyPineBeetle, 1639, 249, 956619, 1.72, 641.52, 5.5, 
40, 2, JeffreyPineBeetle, 895, 151, 666122, 1.97, 641.52, 5.5, 
40, 1, MountainPineBeetle, 350, 78, 232695, 1, 641.52, 5.5, 
40, 2, MountainPineBeetle, 1006, 240, 623257, 2.32, 641.52, 5.5, 
40, 3, FirEngraver, 4094, 252, 2803220, 1.15, 641.52, 5.5, 
40, 3, FirEngraver_Peak, 21650, 1493, 15567477, 2.2, 641.52, 5.5, 
40, 3, WPineBeetle, 4527, 641, 3065327, 2.95, 641.52, 5.5, 
41, 3, JeffreyPineBeetle, 2274, 361, 1472907, 2.05, 700.86, 5.73, 
41, 3, JeffreyPineBeetle, 1519, 246, 1076394, 2.2, 700.86, 5.73, 
