Time,ManagementArea,Prescription,Stand,EventID,StandAge,StandRank,NumberOfSites,HarvestedSites,MgBiomassRemoved,MgBioRemovedPerDamagedHa,TotalCohortsPartialHarvest,TotalCohortsCompleteHarvest,CohortsHarvested_AbieConc,CohortsHarvested_AbieMagn,CohortsHarvested_CaloDecu,CohortsHarvested_FX_R_SEED,CohortsHarvested_NOFX_R_SEED,CohortsHarvested_NOFX_NOR_SEED,CohortsHarvested_PinuAlbi,CohortsHarvested_PinuCont,CohortsHarvested_PinuJeff,CohortsHarvested_PinuLamb,CohortsHarvested_PinuMont,CohortsHarvested_PopuTrem,CohortsHarvested_TsugMert,CohortsHarvested_AcerMacr,CohortsHarvested_AescCali,CohortsHarvested_AlnuRhom,CohortsHarvested_ArbuMenz,CohortsHarvested_CornNutt,CohortsHarvested_JuniOcci,CohortsHarvested_LithDens,CohortsHarvested_PinuAtte,CohortsHarvested_PinuMono,CohortsHarvested_PinuPond,CohortsHarvested_PinuSabi,CohortsHarvested_PinuWash,CohortsHarvested_PseuMenz,CohortsHarvested_QuerChry,CohortsHarvested_QuerDoug,CohortsHarvested_QuerGarr,CohortsHarvested_QuerKell,CohortsHarvested_QuerWisl,CohortsHarvested_TaxuBrev,CohortsHarvested_TorrCali,CohortsHarvested_UmbeCali,BiomassHarvestedMg_AbieConc,BiomassHarvestedMg_AbieMagn,BiomassHarvestedMg_CaloDecu,BiomassHarvestedMg_FX_R_SEED,BiomassHarvestedMg_NOFX_R_SEED,BiomassHarvestedMg_NOFX_NOR_SEED,BiomassHarvestedMg_PinuAlbi,BiomassHarvestedMg_PinuCont,BiomassHarvestedMg_PinuJeff,BiomassHarvestedMg_PinuLamb,BiomassHarvestedMg_PinuMont,BiomassHarvestedMg_PopuTrem,BiomassHarvestedMg_TsugMert,BiomassHarvestedMg_AcerMacr,BiomassHarvestedMg_AescCali,BiomassHarvestedMg_AlnuRhom,BiomassHarvestedMg_ArbuMenz,BiomassHarvestedMg_CornNutt,BiomassHarvestedMg_JuniOcci,BiomassHarvestedMg_LithDens,BiomassHarvestedMg_PinuAtte,BiomassHarvestedMg_PinuMono,BiomassHarvestedMg_PinuPond,BiomassHarvestedMg_PinuSabi,BiomassHarvestedMg_PinuWash,BiomassHarvestedMg_PseuMenz,BiomassHarvestedMg_QuerChry,BiomassHarvestedMg_QuerDoug,BiomassHarvestedMg_QuerGarr,BiomassHarvestedMg_QuerKell,BiomassHarvestedMg_QuerWisl,BiomassHarvestedMg_TaxuBrev,BiomassHarvestedMg_TorrCali,BiomassHarvestedMg_UmbeCali,
1, 1, PIF_CC_28, 56217, 7, 350, 187, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 1, PIF_CC_28, 60917, 8, 160, 183, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 1, PIF_CC_28, 61454, 1, 300, 202, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 3, PIF_CC_30, 52747, 14, 425, 157, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 3, PIF_CC_30, 53544, 15, 0, 152, 9, 9, 4110.81, 140.97, 0, 334, 110, 28, 26, 0, 0, 0, 0, 0, 88, 10, 0, 2, 9, 0, 0, 0, 0, 0, 3, 0, 0, 0, 27, 0, 0, 1, 6, 1, 0, 15, 8, 0, 0, 0, 1828.9152053833, 222.458400654793, 176.839200520515, 0, 0, 0, 0, 0, 1348.00200396776, 57.9636001706123, 0, 11.1456000328064, 59.5512001752853, 0, 0, 0, 0, 0, 23.3280000686646, 0, 0, 0, 133.390800392628, 0, 0, 3.69360001087189, 45.6516001343727, 6.15600001811981, 0, 144.115200424194, 49.6044001460075, 0, 0, 0, 
1, 3, PIF_CC_30, 59910, 11, 294, 168, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 3, PIF_CC_30, 60428, 13, 0, 161, 8, 8, 6706.67, 258.75, 0, 322, 161, 80, 8, 0, 0, 0, 0, 0, 44, 12, 2, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4891.07161439657, 962.409602832794, 55.11240016222, 0, 0, 0, 0, 0, 552.322801625729, 60.490800178051, 31.7844000935555, 0, 120.690000355244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32.7888000965118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 3, PIF_CC_30, 61200, 12, 322, 163, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 5, PIF_CC_32, 46999, 16, 248, 138, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 5, PIF_CC_32, 49397, 18, 0, 129, 15, 15, 13430.19, 276.34, 0, 823, 245, 283, 19, 0, 0, 0, 0, 28, 140, 28, 9, 0, 5, 0, 0, 0, 0, 0, 9, 0, 0, 0, 20, 0, 0, 4, 0, 0, 0, 22, 11, 0, 0, 0, 4989.17881468535, 5576.59081641436, 121.435200357437, 0, 0, 0, 0, 185.392800545692, 1828.59120538235, 151.761600446701, 52.2288001537323, 0, 44.8740001320839, 0, 0, 0, 0, 0, 88.8732002615929, 0, 0, 0, 100.958400297165, 0, 0, 14.7744000434875, 0, 0, 0, 219.996000647545, 55.5336001634598, 0, 0, 0, 
1, 5, PIF_CC_32, 49935, 17, 280, 130, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 7, PIF_CC_34, 45535, 22, 0, 154, 10, 10, 7613.22, 234.98, 0, 474, 150, 170, 11, 0, 0, 0, 0, 8, 101, 8, 4, 0, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4, 1, 0, 1, 2, 1, 0, 7, 0, 0, 0, 0, 2965.70160872936, 2955.36600869894, 65.6100001931191, 0, 0, 0, 0, 51.7428001523018, 1396.76400411129, 31.9788000941277, 27.4104000806808, 0, 22.842000067234, 0, 0, 0, 0, 0, 9.97920002937317, 0, 0, 0, 15.7788000464439, 5.63760001659393, 0, 3.27240000963211, 20.6388000607491, 5.02200001478195, 0, 35.4780001044273, 0, 0, 0, 0, 
1, 7, PIF_CC_34, 45536, 24, 263, 151, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 7, PIF_CC_34, 46864, 21, 0, 155, 9, 9, 8467.25, 290.37, 0, 454, 165, 192, 9, 0, 0, 0, 0, 0, 50, 9, 6, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 0, 0, 5, 3, 0, 0, 0, 3805.54201120138, 3794.9472111702, 51.3540001511574, 0, 0, 0, 0, 0, 494.812801456451, 40.3056001186371, 55.8252001643181, 0, 141.9768004179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16.5240000486374, 0, 0, 8.00280002355576, 0, 0, 0, 38.7180001139641, 19.2456000566483, 0, 0, 0, 
1, 7, PIF_CC_34, 46872, 25, 0, 133, 15, 15, 12979.57, 267.07, 0, 806, 249, 276, 25, 0, 0, 0, 0, 36, 158, 23, 3, 0, 0, 0, 0, 0, 0, 4, 9, 0, 0, 0, 9, 0, 0, 0, 2, 2, 0, 8, 2, 0, 0, 0, 4953.08521457911, 5091.66001498699, 162.2592004776, 0, 0, 0, 0, 332.942400979996, 1998.36720588207, 121.046400356293, 11.5344000339508, 0, 0, 0, 0, 0, 0, 16.9452000498772, 142.722000420094, 0, 0, 0, 43.7076001286507, 0, 0, 0, 11.9556000351906, 8.39160002470016, 0, 73.0620002150536, 11.8908000349998, 0, 0, 0, 
1, 7, PIF_CC_34, 47004, 23, 352, 152, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 7, PIF_CC_34, 47005, 25, 0, 149, 2, 2, 1772.51, 273.54, 0, 114, 31, 35, 9, 0, 0, 0, 0, 8, 26, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 627.814801847935, 661.284001946449, 44.7768001317978, 0, 0, 0, 0, 66.2904001951218, 345.772801017761, 9.65520002841949, 0, 0, 16.9128000497818, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 7, PIF_CC_34, 48330, 20, 320, 17, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 7, PIF_CC_34, 48331, 20, 480, 159, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 7, PIF_CC_34, 48676, 19, 270, 164, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
