SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 0, 0, 1040, 0, 0, 80, 0, 0, 7033451, 
2, 0, 0, 676, 0, 0, 52, 0, 0, 3874455, 
3, 0, 1, 1040, 0, 1, 80, 0, 5131, 6226315, 
4, 0, 0, 1040, 0, 0, 80, 0, 0, 6248091, 
5, 0, 1, 1040, 0, 1, 80, 0, 4495, 6333545, 
6, 0, 0, 1040, 0, 0, 80, 0, 0, 5606810, 
7, 2, 0, 1040, 1, 0, 80, 13455, 0, 5641661, 
8, 0, 1, 1028, 0, 1, 80, 0, 19089, 5514066, 
9, 0, 0, 1040, 0, 0, 80, 0, 0, 5802276, 
10, 0, 0, 1040, 0, 0, 80, 0, 0, 5607934, 
11, 1, 0, 1040, 1, 0, 80, 3507, 0, 5189755, 
12, 682, 1, 1040, 1, 1, 80, 3113011, 4854, 5032581, 
13, 0, 0, 1040, 0, 0, 80, 0, 0, 4912584, 
14, 0, 1, 1040, 0, 1, 80, 0, 0, 4653788, 
15, 0, 0, 1040, 0, 0, 80, 0, 0, 4561354, 
16, 0, 2, 1040, 0, 2, 80, 0, 17030, 4131108, 
17, 0, 0, 1040, 0, 0, 80, 0, 0, 4262979, 
18, 0, 0, 1040, 0, 0, 80, 0, 0, 3798386, 
19, 0, 1, 1028, 0, 1, 80, 0, 10146, 4161236, 
20, 0, 0, 1040, 0, 0, 80, 0, 0, 4221616, 
21, 0, 0, 1040, 0, 0, 80, 0, 0, 3716014, 
22, 0, 1, 598, 0, 1, 46, 0, 3653, 2337958, 
23, 331, 0, 1040, 2, 0, 80, 1349953, 0, 3793352, 
24, 2, 0, 871, 2, 0, 67, 17549, 0, 3058552, 
25, 1, 1, 975, 1, 1, 75, 3293, 5912, 3466835, 
26, 0, 0, 1040, 0, 0, 80, 0, 0, 3205940, 
27, 1, 0, 598, 1, 0, 46, 2580, 0, 1724509, 
28, 1, 0, 897, 1, 0, 69, 1543, 0, 2592676, 
29, 995, 0, 637, 2, 0, 49, 3368295, 0, 1858135, 
30, 770, 1, 936, 2, 1, 72, 2381348, 1557, 2919408, 
31, 0, 2, 689, 0, 2, 53, 0, 19064, 1947033, 
32, 2, 1, 910, 1, 1, 70, 11051, 3237, 2623805, 
33, 328, 0, 455, 1, 0, 35, 1127952, 0, 1353025, 
34, 0, 0, 741, 0, 0, 57, 0, 0, 2260867, 
35, 1617, 1, 871, 3, 1, 67, 5139961, 10722, 2651963, 
36, 1, 0, 1040, 1, 0, 80, 449, 0, 3101993, 
37, 0, 0, 637, 0, 0, 49, 0, 0, 1663491, 
38, 0, 0, 1040, 0, 0, 80, 0, 0, 2993298, 
39, 1, 0, 897, 1, 0, 69, 791, 0, 2466413, 
40, 0, 0, 728, 0, 0, 56, 0, 0, 2013910, 
41, 1, 0, 611, 1, 0, 47, 758, 0, 1449565, 
