SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7, 2, 0, 0, 2, 0, 0, 29139, 0, 0, 
8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
9, 0, 1, 0, 0, 1, 0, 0, 17833, 0, 
10, 0, 1, 0, 0, 1, 0, 0, 27223, 0, 
11, 2, 0, 0, 2, 0, 0, 15397, 0, 0, 
12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
13, 1, 0, 0, 1, 0, 0, 28892, 0, 0, 
14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
15, 1, 0, 0, 1, 0, 0, 10854, 0, 0, 
16, 1, 0, 0, 1, 0, 0, 9300, 0, 0, 
17, 1, 0, 0, 1, 0, 0, 5406, 0, 0, 
18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
20, 1, 0, 0, 1, 0, 0, 7004, 0, 0, 
21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
22, 7, 0, 0, 2, 0, 0, 43409, 0, 0, 
23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, 0, 0, 1, 0, 0, 13929, 0, 0, 
26, 1, 0, 0, 1, 0, 0, 19893, 0, 0, 
27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
28, 2, 0, 0, 2, 0, 0, 19757, 0, 0, 
29, 1, 1021, 0, 1, 2, 0, 6753, 8852021, 0, 
30, 2, 0, 0, 2, 0, 0, 13647, 0, 0, 
31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
34, 1, 0, 0, 1, 0, 0, 14054, 0, 0, 
35, 1, 1, 0, 1, 1, 0, 11239, 18110, 0, 
36, 390, 393, 0, 1, 2, 0, 2501156, 2669644, 0, 
37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
39, 0, 3, 0, 0, 3, 0, 0, 44379, 0, 
40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
41, 2, 1, 0, 2, 1, 0, 15795, 4311, 0, 
42, 1, 0, 0, 1, 0, 0, 797, 0, 0, 
43, 290, 0, 0, 1, 0, 0, 1703070, 0, 0, 
44, 1086, 1, 0, 4, 1, 0, 5792763, 6843, 0, 
45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
46, 389, 1, 0, 1, 1, 0, 1924226, 4220, 0, 
47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
48, 2, 9, 0, 2, 1, 0, 3371, 66605, 0, 
49, 1, 0, 0, 1, 0, 0, 22747, 0, 0, 
50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
51, 1, 1, 0, 1, 1, 0, 11163, 5555, 0, 
52, 1, 0, 0, 1, 0, 0, 16286, 0, 0, 
53, 1, 1, 0, 1, 1, 0, 16327, 15314, 0, 
54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
57, 1, 0, 0, 1, 0, 0, 3486, 0, 0, 
58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
59, 1, 1, 0, 1, 1, 0, 5475, 6563, 0, 
60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
64, 3, 0, 0, 3, 0, 0, 31242, 0, 0, 
65, 0, 1, 0, 0, 1, 0, 0, 12916, 0, 
66, 1, 0, 0, 1, 0, 0, 9433, 0, 0, 
67, 0, 1, 0, 0, 1, 0, 0, 8830, 0, 
68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
70, 0, 1, 0, 0, 1, 0, 0, 3937, 0, 
71, 1, 0, 0, 1, 0, 0, 12392, 0, 0, 
72, 1, 0, 0, 1, 0, 0, 5773, 0, 0, 
73, 1, 0, 0, 1, 0, 0, 2203, 0, 0, 
74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
76, 3, 1, 0, 3, 1, 0, 16169, 11996, 0, 
77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
80, 1, 0, 0, 1, 0, 0, 6817, 0, 0, 
