Time,ROS,AgentName,CohortsKilled,DamagedSites,TotalBiomassMortality,MeanSeverity,ClimateThreshold1,ClimateThreshold2,
1, 1, WPBR_chronic, 1, 1, 352, 1, 0, 4.46, 
2, 1, WPBR_chronic, 4, 1, 751, 1, 48.46, 4.03, 
3, 1, WPBR_chronic, 3, 1, 495, 1, 87.3, 3.5, 
7, 1, WPBR_chronic, 5, 2, 849, 1, 586.31, 4.35, 
8, 1, WPBR_chronic, 2, 1, 306, 1, 587.64, 3.05, 
9, 1, FirEngraver, 1092, 65, 611787, 1, 590.28, 6.03, 
9, 1, WPBR_chronic, 1, 1, 377, 1, 590.28, 6.03, 
12, 1, FirEngraver, 976, 66, 569890, 1, 591.65, 7.3, 
16, 1, FirEngraver, 913, 68, 589476, 1, 609.04, 6.79, 
17, 2, FirEngraver, 2039, 141, 1245786, 1, 606.66, 4.49, 
18, 1, FirEngraver, 1161, 80, 771384, 1, 607.32, 3.47, 
26, 3, JeffreyPineBeetle, 2351, 382, 1357611, 2.03, 622.76, 4.37, 
26, 1, MountainPineBeetle, 524, 118, 407154, 1, 622.76, 4.37, 
26, 3, FirEngraver, 3546, 220, 2386757, 1.1, 622.76, 4.37, 
26, 1, WPineBeetle, 1753, 250, 1277881, 1.87, 622.76, 4.37, 
27, 1, FirEngraver, 1329, 87, 883980, 1, 619.46, 4.44, 
28, 3, FirEngraver, 3578, 243, 2375361, 1.09, 619.84, 3.76, 
29, 1, FirEngraver, 1097, 69, 744746, 1, 619.49, 3.68, 
29, 1, WPBR_chronic, 11, 1, 8701, 1, 619.49, 3.68, 
30, 2, FirEngraver, 2232, 143, 1548648, 1, 619.78, 3, 
31, 3, FirEngraver, 3885, 268, 2742477, 1.22, 613.24, 4.18, 
33, 1, FirEngraver, 1292, 86, 913068, 1, 605.73, 3.54, 
34, 1, FirEngraver, 1118, 83, 835005, 1, 606.59, 3.36, 
35, 3, FirEngraver, 3247, 221, 2208718, 1.17, 607.58, 5.1, 
36, 1, JeffreyPineBeetle, 670, 112, 439662, 1, 641.92, 8.36, 
36, 3, JeffreyPineBeetle, 1258, 237, 918469, 2.15, 641.92, 8.36, 
36, 3, MountainPineBeetle, 1130, 289, 1020704, 1.99, 641.92, 8.36, 
36, 3, MountainPineBeetle, 1364, 339, 1167553, 2.91, 641.92, 8.36, 
36, 1, FirEngraver, 1289, 79, 994745, 1, 641.92, 8.36, 
36, 2, FirEngraver_Peak, 11224, 895, 8086297, 1.99, 641.92, 8.36, 
36, 3, WPineBeetle, 4964, 771, 3736616, 2.94, 641.92, 8.36, 
37, 2, JeffreyPineBeetle, 1422, 244, 889501, 1.73, 644.51, 7.11, 
37, 3, JeffreyPineBeetle, 1273, 262, 901257, 2.17, 644.51, 7.11, 
37, 1, MountainPineBeetle, 437, 103, 381341, 1, 644.51, 7.11, 
37, 1, MountainPineBeetle, 411, 108, 362925, 1.38, 644.51, 7.11, 
37, 3, FirEngraver, 3621, 236, 2617379, 1.2, 644.51, 7.11, 
37, 3, FirEngraver_Peak, 15777, 1222, 11388003, 2.21, 644.51, 7.11, 
37, 1, WPineBeetle, 1315, 231, 1042486, 1.84, 644.51, 7.11, 
39, 1, JeffreyPineBeetle, 663, 119, 416352, 1, 629.13, 5.5, 
39, 1, JeffreyPineBeetle, 425, 75, 291716, 1, 629.13, 5.5, 
39, 3, MountainPineBeetle, 1365, 291, 1174778, 1.98, 629.13, 5.5, 
39, 3, MountainPineBeetle, 1460, 305, 1142956, 2.89, 629.13, 5.5, 
39, 3, FirEngraver, 3530, 251, 2600556, 1.24, 629.13, 5.5, 
39, 1, WPineBeetle, 1343, 218, 1086060, 1.87, 629.13, 5.5, 
40, 3, JeffreyPineBeetle, 2113, 347, 1483203, 2.05, 635.27, 5.5, 
40, 2, JeffreyPineBeetle, 883, 157, 680342, 1.97, 635.27, 5.5, 
40, 1, MountainPineBeetle, 460, 96, 339583, 1, 635.27, 5.5, 
40, 3, MountainPineBeetle, 1335, 310, 1105608, 2.89, 635.27, 5.5, 
40, 3, FirEngraver, 2604, 203, 1864278, 1.32, 635.27, 5.5, 
40, 2, FirEngraver_Peak, 10205, 847, 7396336, 1.99, 635.27, 5.5, 
40, 3, WPineBeetle, 4457, 731, 3505298, 2.93, 635.27, 5.5, 
41, 3, JeffreyPineBeetle, 2145, 374, 1385986, 2.04, 700.83, 5.73, 
41, 2, JeffreyPineBeetle, 885, 156, 666960, 1.99, 700.83, 5.73, 
41, 1, MountainPineBeetle, 404, 94, 337643, 1, 700.83, 5.73, 
41, 2, MountainPineBeetle, 923, 226, 684404, 2.41, 700.83, 5.73, 
41, 1, FirEngraver, 946, 87, 678912, 1, 700.83, 5.73, 
41, 3, FirEngraver_Peak, 14968, 1249, 10947685, 2.29, 700.83, 5.73, 
41, 2, WPineBeetle, 2846, 464, 2137745, 2.84, 700.83, 5.73, 
41, 1, WPineBeetle_peak, 6209, 1007, 4965864, 2.61, 700.83, 5.73, 
