IgnitionType,Mapcode,Suppress_Category_0,FWI_Break_1,Suppress_Category_1,FWI_Break_2,Suppress_Category_2
Accidental,0,0,30,0,60,0
Accidental,1,0,30,0,60,0
Accidental,2,0,30,0,60,0
Accidental,3,0,30,0,60,0
Lightning,0,0,30,0,60,0
Lightning,1,0,30,0,60,0
Lightning,2,0,30,0,60,0
Lightning,3,0,30,0,60,0
Rx,0,0,30,0,45,0
Rx,1,0,30,0,45,0
Rx,2,0,30,0,45,0
Rx,3,0,30,0,45,0
