Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 7918, 19612, 0, 5, 2935, 
5, -223.3, 8003.6, 21817, 481.8, 11.08, 3524.2, 
10, -184.6, 7445.8, 23610.4, 486.4, 11.51, 3947.5, 
15, -197.4, 7132.9, 25038.3, 437.4, 12.87, 4244.6, 
20, -121.8, 7017.1, 25958.8, 414.3, 11.73, 4487.8, 
25, -105.5, 6977.1, 26404.4, 377, 11.46, 4730.6, 
30, -50.4, 6921.6, 26295.7, 362.8, 11.65, 4861.5, 
35, -51.2, 6865.7, 26319.7, 400.8, 12.62, 4848.9, 
40, -69.1, 6865.3, 26000.4, 356.5, 11.41, 4978.2, 
45, -36.6, 6876.7, 25889.9, 315.5, 12.35, 5016.6, 
50, -23.5, 6910.7, 25835.7, 304.7, 12.87, 5051.6, 
55, -14.6, 6906.1, 25464.3, 295.1, 13.05, 5084.8, 
60, -6.7, 6927.1, 25301.3, 287.7, 13.02, 5093.9, 
65, -0.7, 6939.2, 25109, 281.6, 12.84, 5084.8, 
70, 1.9, 6920.4, 24763.3, 276.5, 12.54, 5064.6, 
75, 4.6, 6907, 24430.8, 272.1, 12.21, 5047.9, 
80, 7.4, 6905, 24160.1, 268.4, 11.89, 5029.4, 
