Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
1987, eco2, 1, 129.59, 16.12, 0, 365, 0, 
1988, eco2, 1, 190.12, 12.79, 17, 302, 0, 
1989, eco2, 1, 101.6, 14.81, 0, 309, 0, 
1990, eco2, 1, 124.5, 15.66, 0, 351, 0, 
1991, eco2, 1, 83.9, 14.75, 0, 323, 0, 
1992, eco2, 1, 116.03, 14.79, 0, 347, 0, 
1993, eco2, 1, 172.8, 13.71, 0, 307, 0, 
1994, eco2, 1, 115.54, 15.13, 0, 343, 0, 
1995, eco2, 1, 72.28, 15.92, 0, 300, 0, 
1996, eco2, 1, 38.98, 15.52, 0, 331, 0, 
1997, eco2, 1, 124.5, 15.66, 0, 351, 0, 
1998, eco2, 1, 38.98, 15.52, 0, 331, 0, 
1999, eco2, 1, 38.98, 15.52, 0, 331, 0, 
2000, eco2, 1, 108.02, 14.75, 0, 315, 0, 
2001, eco2, 1, 83.9, 14.75, 0, 323, 0, 
2002, eco2, 1, 91.76, 15.09, 0, 312, 0, 
2003, eco2, 1, 101.6, 14.81, 0, 309, 0, 
2004, eco2, 1, 140.2, 14.17, 0, 303, 0, 
2005, eco2, 1, 114.74, 14.82, 0, 331, 0, 
2006, eco2, 1, 129.59, 16.12, 0, 365, 0, 
2007, eco2, 1, 109.76, 14.19, 0, 334, 0, 
2008, eco2, 1, 189.33, 14.74, 0, 365, 0, 
2009, eco2, 1, 106.66, 14.37, 46, 341, 0, 
2010, eco2, 1, 78.11, 14.37, 49, 306, 0, 
2011, eco2, 1, 116.03, 14.79, 0, 347, 0, 
2012, eco2, 1, 129.59, 16.12, 0, 365, 0, 
2013, eco2, 1, 115.54, 15.13, 0, 343, 0, 
2014, eco2, 1, 166.42, 15.19, 0, 327, 0, 
2015, eco2, 1, 106.58, 14.66, 0, 331, 0, 
2016, eco2, 1, 138.5, 14.93, 0, 341, 0, 
2017, eco2, 1, 114.74, 14.82, 0, 331, 0, 
2018, eco2, 1, 115.54, 15.13, 0, 343, 0, 
2019, eco2, 1, 101.6, 14.81, 0, 309, 0, 
2020, eco2, 1, 94.62, 14.8, 0, 307, 0, 
2021, eco2, 1, 87.82, 14.54, 0, 325, 0, 
2022, eco2, 1, 91.76, 15.09, 0, 312, 0, 
2023, eco2, 1, 129.59, 16.12, 0, 365, 0, 
2024, eco2, 1, 102.22, 14.34, 0, 293, 0, 
2025, eco2, 1, 109.12, 13.81, 0, 309, 0, 
2026, eco2, 1, 165.64, 14.71, 0, 285, 0, 
2027, eco2, 1, 233.19, 13.52, 0, 310, 0, 
2028, eco2, 1, 101.6, 14.81, 0, 309, 0, 
2029, eco2, 1, 190.12, 12.79, 17, 302, 0, 
2030, eco2, 1, 140.2, 14.17, 0, 303, 0, 
2031, eco2, 1, 58.7, 6.11, 117, 260, 0, 
2032, eco2, 1, 129.59, 16.12, 0, 365, 0, 
2033, eco2, 1, 124.5, 15.66, 0, 351, 0, 
2034, eco2, 1, 92.37, 14.27, 31, 282, 0, 
2035, eco2, 1, 172.8, 13.71, 0, 307, 0, 
2036, eco2, 1, 115.54, 15.13, 0, 343, 0, 
2037, eco2, 1, 124.5, 15.66, 0, 351, 0, 
2038, eco2, 1, 171.24, 14.54, 0, 365, 0, 
2039, eco2, 1, 129.59, 16.12, 0, 365, 0, 
2040, eco2, 1, 78.11, 14.37, 49, 306, 0, 
2041, eco2, 1, 115.54, 15.13, 0, 343, 0, 
2042, eco2, 1, 106.58, 14.66, 0, 331, 0, 
2043, eco2, 1, 165.64, 14.71, 0, 285, 0, 
2044, eco2, 1, 106.58, 14.66, 0, 331, 0, 
2045, eco2, 1, 206.67, 15.06, 0, 365, 0, 
2046, eco2, 1, 124.5, 15.66, 0, 351, 0, 
2047, eco2, 1, 166.42, 15.19, 0, 327, 0, 
2048, eco2, 1, 58.7, 6.11, 117, 260, 0, 
2049, eco2, 1, 108.02, 14.75, 0, 315, 0, 
2050, eco2, 1, 189.33, 14.74, 0, 365, 0, 
2051, eco2, 1, 206.67, 15.06, 0, 365, 0, 
2052, eco2, 1, 108.02, 14.75, 0, 315, 0, 
2053, eco2, 1, 91.76, 15.09, 0, 312, 0, 
2054, eco2, 1, 94.62, 14.8, 0, 307, 0, 
2055, eco2, 1, 166.42, 15.19, 0, 327, 0, 
2056, eco2, 1, 190.12, 12.79, 17, 302, 0, 
2057, eco2, 1, 165.21, 15.3, 0, 336, 0, 
2058, eco2, 1, 91.76, 15.09, 0, 312, 0, 
2059, eco2, 1, 140.2, 14.17, 0, 303, 0, 
2060, eco2, 1, 190.12, 12.79, 17, 302, 0, 
1980, eco3, 2, 191.97, 14.18, 0, 331, 0, 
1981, eco3, 2, 222.1, 13.51, 0, 345, 0, 
1982, eco3, 2, 116.44, 13.73, 0, 306, 0, 
1983, eco3, 2, 115.71, 13.24, 20, 291, 0, 
1984, eco3, 2, 84.2, 15, 0, 298, 0, 
1985, eco3, 2, 146.39, 13.06, 75, 314, 0, 
1986, eco3, 2, 116.44, 13.73, 0, 306, 0, 
1987, eco3, 2, 145.25, 15.07, 0, 365, 0, 
1988, eco3, 2, 219.18, 11.54, 33, 296, 0, 
1989, eco3, 2, 116.44, 13.73, 0, 306, 0, 
1990, eco3, 2, 95.24, 15.43, 0, 346, 0, 
1991, eco3, 2, 100.92, 13.78, 16, 321, 0, 
1992, eco3, 2, 133.66, 13.68, 0, 334, 0, 
1993, eco3, 2, 201.32, 12.68, 0, 304, 0, 
1994, eco3, 2, 132.49, 14, 47, 319, 0, 
1995, eco3, 2, 84.2, 15, 0, 298, 0, 
1996, eco3, 2, 45.99, 14.4, 0, 328, 0, 
1997, eco3, 2, 95.24, 15.43, 0, 346, 0, 
1998, eco3, 2, 45.99, 14.4, 0, 328, 0, 
1999, eco3, 2, 45.99, 14.4, 0, 328, 0, 
2000, eco3, 2, 123.5, 13.59, 75, 311, 0, 
2001, eco3, 2, 100.92, 13.78, 16, 321, 0, 
2002, eco3, 2, 106, 13.99, 20, 305, 0, 
2003, eco3, 2, 116.44, 13.73, 0, 306, 0, 
2004, eco3, 2, 160.96, 12.85, 0, 302, 0, 
2005, eco3, 2, 132.53, 13.61, 0, 289, 0, 
2006, eco3, 2, 145.25, 15.07, 0, 365, 0, 
2007, eco3, 2, 128.77, 13.17, 0, 332, 0, 
2008, eco3, 2, 222.1, 13.51, 0, 345, 0, 
2009, eco3, 2, 124.83, 13.27, 54, 345, 0, 
2010, eco3, 2, 88.59, 13.2, 57, 304, 0, 
2011, eco3, 2, 133.66, 13.68, 0, 334, 0, 
2012, eco3, 2, 145.25, 15.07, 0, 365, 0, 
2013, eco3, 2, 132.49, 14, 47, 319, 0, 
2014, eco3, 2, 191.7, 14.02, 17, 321, 0, 
2015, eco3, 2, 126.3, 13.68, 0, 324, 0, 
2016, eco3, 2, 165.93, 13.79, 0, 336, 0, 
2017, eco3, 2, 132.53, 13.61, 0, 289, 0, 
2018, eco3, 2, 132.49, 14, 47, 319, 0, 
2019, eco3, 2, 116.44, 13.73, 0, 306, 0, 
2020, eco3, 2, 108.97, 13.63, 26, 303, 0, 
2021, eco3, 2, 102.19, 13.68, 16, 321, 0, 
2022, eco3, 2, 106, 13.99, 20, 305, 0, 
2023, eco3, 2, 145.25, 15.07, 0, 365, 0, 
2024, eco3, 2, 115.71, 13.24, 20, 291, 0, 
2025, eco3, 2, 126.8, 12.7, 61, 304, 0, 
2026, eco3, 2, 192.31, 13.58, 0, 280, 0, 
2027, eco3, 2, 269.83, 12.2, 0, 303, 0, 
2028, eco3, 2, 116.44, 13.73, 0, 306, 0, 
2029, eco3, 2, 219.18, 11.54, 33, 296, 0, 
2030, eco3, 2, 160.96, 12.85, 0, 302, 0, 
2031, eco3, 2, 79.35, 4.29, 134, 249, 0, 
2032, eco3, 2, 145.25, 15.07, 0, 365, 0, 
2033, eco3, 2, 95.24, 15.43, 0, 346, 0, 
2034, eco3, 2, 108.03, 13.14, 46, 278, 0, 
2035, eco3, 2, 201.32, 12.68, 0, 304, 0, 
2036, eco3, 2, 132.49, 14, 47, 319, 0, 
2037, eco3, 2, 95.24, 15.43, 0, 346, 0, 
2038, eco3, 2, 201.71, 13.39, 0, 365, 0, 
2039, eco3, 2, 145.25, 15.07, 0, 365, 0, 
