Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 7749.4, 19336.1, 0, 5, 2946, 
5, 24.5, 8507.6, 20545.4, 356.3, 18.72, 2423.9, 
10, -20.8, 8041.8, 21477, 320.4, 17.53, 2276.1, 
15, -62.3, 7717.4, 22086.7, 324.2, 14.4, 2387.6, 
20, -3, 7307.5, 22854, 346.7, 19.6, 2511.9, 
25, -37.8, 7072.5, 23344.8, 321.6, 17.14, 2728.3, 
30, -14.7, 6885.1, 23874.9, 337.4, 15.04, 2925.7, 
35, -69.7, 6804.1, 24274, 334, 12.52, 3168.3, 
40, -85.5, 6726.7, 24615.1, 339, 11.72, 3379, 
45, -82.2, 6704.7, 25033.9, 323.8, 11.13, 3607.2, 
50, -41.2, 6700.4, 25195.1, 309, 8.82, 3770.4, 
55, -59.1, 6697.2, 25396.4, 342.1, 8.93, 3928.3, 
60, -54.3, 6733.2, 25829.8, 401.7, 7.19, 4024.5, 
65, -34.5, 6771.6, 25988.7, 343.7, 6.6, 4181.7, 
70, -0.2, 6810.6, 26021.7, 365.3, 6.35, 4308.2, 
75, -133, 6853.4, 26341, 365.1, 4.98, 4456.8, 
80, -38.5, 6943.5, 26564.6, 363.5, 4.24, 4577, 
