"","Species","shape","scale","location"
"1","AbieConc",1.89251936682318,11.9115373094306,0
"2","AbieMagn",1.89174520814445,12.6247629898611,0.00294599313425864
"3","AcerMacr",2.38111377888919,14.6883509893076,0.0168771888068852
"4","AescCali",0.939608211248704,7.59722294982786,0
"5","AlnuRhom",5.2329181639856,13.3222762371654,0.0287653985478986
"6","ArbuMenz",1.21287976652574,11.6322188692431,0
"7","CaloDecu",1.7379155178904,12.0085540613389,0
"8","CornNutt",6.65670415706475,13.1832446607564,0.0339100053470283
"9","FX_R_SEED",6.65670415706475,13.1832446607564,0.0339100053470283
"10","JuniOcci",0.916090306739336,12.3640259030119,0
"11","LithDens",2.1988813316001,11.6547902208741,0
"12","NOFX_NOR_SEED",6.65670415706475,13.1832446607564,0.0339100053470283
"13","NOFX_R_SEED",6.65670415706475,13.1832446607564,0.0339100053470283
"14","PinuAlbi",1.3551604279778,12.306277971115,0
"15","PinuAtte",1.3551604279778,12.306277971115,0
"16","PinuCont",1.3551604279778,12.306277971115,0
"17","PinuJeff",1.23792401009468,11.9874590020989,0
"18","PinuLamb",1.47025867502218,11.5923876988659,0
"19","PinuMono",1.03462286042995,7.85650449483119,0
"20","PinuMont",1.58689922565389,11.994618536854,0
"21","PinuPond",1.23792401009468,11.9874590020989,0
"22","PinuSabi",1.22468139286962,12.004858366972,0
"23","PinuWash",1.23792401009468,11.9874590020989,0
"24","PopuTrem",0.980308468419937,13.7169270481391,0
"25","PseuMenz",1.45834979132256,12.4006986008097,0
"26","QuerChry",1.12196319638049,11.9592749875586,0
"27","QuerDoug",0.984137525030698,11.4024827805686,0
"28","QuerGarr",0.984137525030698,11.4024827805686,0
"29","QuerKell",0.984137525030698,11.4024827805686,0
"30","QuerWisl",1.12196319638049,11.9592749875586,0
"31","TaxuBrev",6.65670415706475,13.1832446607564,0.0339100053470283
"32","TorrCali",6.65670415706475,13.1832446607564,0.0339100053470283
"33","TsugMert",1.60329298033987,12.3030642551558,0
"34","UmbeCali",1.15723653113926,13.0614667128602,0
