FunctionalGroupName,FunctionalGroupIndex,TemperatureCurve1,TemperatureCurve2,TemperatureCurve3,TemperatureCurve4,FractionANPPtoLeaf,LeafBiomassToLAI,KLAI,MaximumLAI,MoistureCurve2,MoistureCurve3,WoodDecayRate,MonthlyWoodMortality,LongevityMortalityShape,FoliageDropMonth,CoarseRootFraction,FineRootFraction,MinLAI
Conifers,1,20,40,1,3,0.3,-0.9,12000,7,1,0.9,0.05,0.0014,15,10,0.23,0.2,0.1
Hardwoods,2,18,38,1,4,0.3,-0.9,7000,8,1.5,0.96,0.08,0.0018,15,10,0.23,0.2,0.1
Hardwoods_dry,5,18,40,1,4,0.4,-0.9,7000,6,1,0.9,0.08,0.0014,15,10,0.23,0.2,0.1
Shrub,3,20,42,1,4,0.4,-0.9,2000,3,1,0.9,0.2,0.0019,15,10,0.23,0.2,0.1
Firs,4,18,37,1,3,0.35,-0.9,7000,10,1.5,0.96,0.06,0.0013,15,10,0.23,0.2,0.1
