SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 1527, 1, 3743, 2, 1, 268, 8995236, 8383, 24089407, 
2, 1, 1, 3136, 1, 1, 224, 8652, 5905, 17552255, 
3, 0, 1, 4471, 0, 1, 320, 0, 6649, 23766184, 
4, 1, 0, 4467, 1, 0, 320, 6436, 0, 23232237, 
5, 0, 0, 4467, 0, 0, 320, 0, 0, 21219045, 
6, 0, 0, 4009, 0, 0, 288, 0, 0, 18543710, 
7, 0, 0, 2968, 0, 0, 212, 0, 0, 11721956, 
8, 0, 2, 4480, 0, 2, 320, 0, 9653, 16869511, 
9, 0, 0, 4466, 0, 0, 320, 0, 0, 15038747, 
10, 0, 0, 4480, 0, 0, 320, 0, 0, 14864377, 
11, 1, 0, 3416, 1, 0, 244, 3394, 0, 9380953, 
12, 0, 0, 2968, 0, 0, 212, 0, 0, 7728729, 
13, 0, 0, 4471, 0, 0, 320, 0, 0, 11327430, 
14, 0, 0, 4468, 0, 0, 320, 0, 0, 10379715, 
15, 0, 1, 3808, 0, 1, 272, 0, 0, 9416142, 
16, 0, 0, 4470, 0, 0, 320, 0, 0, 10356152, 
17, 0, 1, 3192, 0, 1, 228, 0, 7524, 6685987, 
18, 335, 0, 3403, 2, 0, 244, 710796, 0, 6676052, 
19, 0, 0, 4467, 0, 0, 320, 0, 0, 8340216, 
20, 340, 0, 3808, 2, 0, 272, 1255139, 0, 6596628, 
21, 0, 0, 4224, 0, 0, 304, 0, 0, 6730464, 
22, 3, 0, 3080, 3, 0, 220, 13067, 0, 4725755, 
23, 0, 1, 4463, 0, 1, 320, 0, 2246, 6737019, 
24, 2, 0, 4479, 1, 0, 320, 5014, 0, 6751887, 
25, 13, 0, 3571, 3, 0, 256, 31858, 0, 5075788, 
26, 0, 0, 3570, 0, 0, 256, 0, 0, 4787309, 
27, 0, 2, 2800, 0, 2, 200, 0, 10986, 3620354, 
28, 0, 0, 3304, 0, 0, 236, 0, 0, 4297267, 
29, 0, 0, 3808, 0, 0, 272, 0, 0, 4756110, 
30, 2, 0, 3976, 2, 0, 284, 3276, 0, 5196458, 
31, 176, 0, 2016, 4, 0, 144, 293758, 0, 2174659, 
32, 2057, 0, 2184, 1, 0, 156, 3788764, 0, 2254610, 
33, 0, 0, 4200, 0, 0, 300, 0, 0, 4469512, 
34, 0, 0, 3627, 0, 0, 260, 0, 0, 3610528, 
35, 1, 0, 3416, 1, 0, 244, 1582, 0, 3581498, 
36, 0, 1, 4467, 0, 1, 320, 0, 0, 4961059, 
37, 649, 0, 2800, 3, 0, 200, 1791843, 0, 2960497, 
38, 4, 1, 1960, 1, 1, 140, 10670, 3246, 1884108, 
39, 1, 0, 3695, 1, 0, 264, 387, 0, 3900780, 
40, 1, 0, 4471, 1, 0, 320, 1894, 0, 4664209, 
41, 0, 1, 4412, 0, 1, 316, 0, 0, 4604210, 
