SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 0, 0, 871, 0, 0, 67, 0, 0, 5974783, 
2, 0, 1, 728, 0, 1, 56, 0, 11270, 4309615, 
3, 0, 1, 1040, 0, 1, 80, 0, 7339, 5968501, 
4, 0, 2, 1040, 0, 2, 80, 0, 8080, 6612216, 
5, 0, 0, 1040, 0, 0, 80, 0, 0, 6198867, 
6, 0, 0, 936, 0, 0, 72, 0, 0, 5151258, 
7, 811, 0, 689, 2, 0, 53, 5115247, 0, 3838778, 
8, 1, 0, 1040, 1, 0, 80, 7593, 0, 5567863, 
9, 1, 1, 1040, 1, 1, 80, 10024, 8300, 5534233, 
10, 0, 0, 1040, 0, 0, 80, 0, 0, 5278187, 
11, 0, 0, 793, 0, 0, 61, 0, 0, 3561077, 
12, 0, 1, 689, 0, 1, 53, 0, 4279, 2891594, 
13, 311, 0, 1031, 1, 0, 80, 2751965, 0, 4022315, 
14, 0, 0, 1040, 0, 0, 80, 0, 0, 3775983, 
15, 0, 0, 884, 0, 0, 68, 0, 0, 3345779, 
16, 0, 1, 1040, 0, 1, 80, 0, 6412, 3814728, 
17, 1, 0, 741, 1, 0, 57, 5133, 0, 2586491, 
18, 0, 1, 793, 0, 1, 61, 0, 10620, 2907199, 
19, 0, 0, 1040, 0, 0, 80, 0, 0, 3658319, 
20, 0, 0, 884, 0, 0, 68, 0, 0, 2959147, 
21, 0, 0, 988, 0, 0, 76, 0, 0, 3018784, 
22, 0, 0, 715, 0, 0, 55, 0, 0, 2173394, 
23, 0, 1, 1040, 0, 1, 80, 0, 2507, 2922251, 
24, 6, 0, 1040, 1, 0, 80, 18021, 0, 3020064, 
25, 1, 0, 832, 1, 0, 64, 3201, 0, 2366674, 
26, 0, 1, 832, 0, 1, 64, 0, 1512, 2245465, 
27, 1, 2, 650, 1, 2, 50, 3462, 5101, 1765113, 
28, 3, 1, 767, 3, 1, 59, 5082, 0, 2053281, 
29, 0, 1, 884, 0, 1, 68, 0, 141, 2368065, 
30, 730, 1, 923, 1, 1, 71, 2157987, 4660, 2322057, 
31, 1, 2, 468, 1, 2, 36, 3325, 10144, 1128754, 
32, 0, 0, 507, 0, 0, 39, 0, 0, 1182353, 
33, 1, 0, 975, 1, 0, 75, 4279, 0, 2066701, 
34, 0, 1, 845, 0, 1, 65, 0, 5232, 1797193, 
35, 0, 0, 793, 0, 0, 61, 0, 0, 1674085, 
36, 1, 0, 1040, 1, 0, 80, 3872, 0, 2484420, 
37, 563, 0, 650, 1, 0, 50, 1596440, 0, 1423692, 
38, 1, 0, 455, 1, 0, 35, 597, 0, 895948, 
39, 1, 1, 858, 1, 1, 66, 2446, 3506, 1813003, 
40, 0, 0, 1040, 0, 0, 80, 0, 0, 2117117, 
41, 2, 0, 1027, 2, 0, 79, 9150, 0, 2241510, 
