SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 0, 1, 0, 0, 1, 0, 0, 12340, 0, 
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6, 2, 0, 0, 2, 0, 0, 17997, 0, 0, 
7, 0, 2, 0, 0, 1, 0, 0, 16002, 0, 
8, 1, 1, 0, 1, 1, 0, 6248, 527, 0, 
9, 1185, 0, 0, 3, 0, 0, 8867938, 0, 0, 
10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
12, 2, 1, 0, 2, 1, 0, 18359, 15073, 0, 
13, 0, 1, 0, 0, 1, 0, 0, 15360, 0, 
14, 1, 2, 0, 1, 1, 0, 9624, 17766, 0, 
15, 1, 0, 0, 1, 0, 0, 7238, 0, 0, 
16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
17, 1, 0, 0, 1, 0, 0, 7223, 0, 0, 
18, 1, 1, 0, 1, 1, 0, 10525, 15527, 0, 
19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
20, 2, 1104, 0, 2, 1, 0, 8984, 12764337, 0, 
21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
23, 1, 0, 0, 1, 0, 0, 7010, 0, 0, 
24, 0, 1, 0, 0, 1, 0, 0, 4554, 0, 
25, 1, 3, 0, 1, 3, 0, 3721, 55582, 0, 
26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
27, 2, 1, 0, 2, 1, 0, 45453, 4029, 0, 
28, 4, 0, 0, 4, 0, 0, 31963, 0, 0, 
29, 2147, 1, 0, 4, 1, 0, 13370785, 11133, 0, 
30, 0, 1, 0, 0, 1, 0, 0, 30797, 0, 
31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
33, 0, 4, 0, 0, 3, 0, 0, 76259, 0, 
34, 1, 0, 0, 1, 0, 0, 10917, 0, 0, 
35, 1, 0, 0, 1, 0, 0, 3644, 0, 0, 
36, 0, 2, 0, 0, 2, 0, 0, 38373, 0, 
37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
38, 0, 1, 0, 0, 1, 0, 0, 21379, 0, 
39, 1173, 4, 0, 2, 1, 0, 7521059, 82403, 0, 
40, 11, 2, 0, 2, 2, 0, 61049, 26753, 0, 
41, 1, 832, 0, 1, 1, 0, 4723, 6306126, 0, 
42, 436, 1, 0, 4, 1, 0, 2282001, 6791, 0, 
43, 0, 1, 0, 0, 1, 0, 0, 7195, 0, 
44, 2, 0, 0, 2, 0, 0, 18954, 0, 0, 
45, 2, 605, 0, 2, 2, 0, 8522, 5237960, 0, 
46, 0, 1, 0, 0, 1, 0, 0, 4912, 0, 
47, 0, 768, 0, 0, 1, 0, 0, 6992797, 0, 
48, 3, 766, 0, 3, 2, 0, 12835, 5542003, 0, 
49, 1, 4, 0, 1, 3, 0, 7824, 69217, 0, 
50, 1, 782, 0, 1, 2, 0, 8757, 8560252, 0, 
51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
52, 6, 706, 0, 1, 2, 0, 31144, 10641769, 0, 
53, 2, 0, 0, 2, 0, 0, 9448, 0, 0, 
54, 1, 0, 0, 1, 0, 0, 7886, 0, 0, 
55, 0, 2, 0, 0, 1, 0, 0, 10924, 0, 
56, 1060, 1, 0, 3, 1, 0, 11156697, 21833, 0, 
57, 755, 1, 0, 3, 1, 0, 4085769, 19285, 0, 
58, 2, 1, 0, 2, 1, 0, 13513, 4035, 0, 
59, 367, 914, 0, 2, 2, 0, 2161766, 6791869, 0, 
60, 1, 0, 0, 1, 0, 0, 5778, 0, 0, 
61, 1, 759, 0, 1, 2, 0, 5888, 5329923, 0, 
62, 3, 14, 0, 3, 1, 0, 17791, 121335, 0, 
63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
64, 691, 0, 0, 4, 0, 0, 3065116, 0, 0, 
65, 0, 568, 0, 0, 2, 0, 0, 4400477, 0, 
66, 6, 1, 0, 4, 1, 0, 14410, 11544, 0, 
67, 1, 0, 0, 1, 0, 0, 6711, 0, 0, 
68, 1085, 1, 0, 4, 1, 0, 4854656, 16369, 0, 
69, 1, 1, 0, 1, 1, 0, 4227, 10820, 0, 
70, 0, 2, 0, 0, 2, 0, 0, 19123, 0, 
71, 2, 0, 0, 2, 0, 0, 9513, 0, 0, 
72, 1, 1, 0, 1, 1, 0, 1337, 7087, 0, 
73, 0, 5, 0, 0, 1, 0, 0, 22991, 0, 
74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
75, 0, 1, 0, 0, 1, 0, 0, 1240, 0, 
76, 2, 1, 0, 2, 1, 0, 9173, 13584, 0, 
77, 14, 0, 0, 1, 0, 0, 64956, 0, 0, 
78, 1124, 1, 0, 2, 1, 0, 3893813, 9374, 0, 
79, 7, 1, 0, 7, 1, 0, 33648, 16816, 0, 
80, 3, 235, 0, 3, 1, 0, 13535, 2493054, 0, 
