SimulationYear,DayOfYear,AttemptedNumberIgnitions,ActualNumberIgnitions,FireWeatherIndex,IgnitionType,
3, 57, 1, 1, 3.15612467786425, Lightning, 
3, 199, 1, 1, 25.8210779524915, Lightning, 
6, 10, 1, 1, 3.68757414924011, Lightning, 
6, 309, 1, 1, 25.4347179294613, Accidental, 
8, 244, 1, 1, 38.1302665192859, Accidental, 
8, 254, 1, 1, 27.7997645024758, Lightning, 
9, 221, 1, 1, 33.1669190707584, Accidental, 
10, 358, 1, 1, 19.2745467436811, Accidental, 
13, 205, 1, 1, 28.5937237237425, Accidental, 
15, 286, 1, 1, 23.9645375464216, Accidental, 
17, 47, 1, 1, 3.99788414616378, Lightning, 
17, 80, 1, 1, 6.31616994860359, Lightning, 
17, 235, 1, 1, 37.1559464116401, Accidental, 
20, 43, 1, 1, 0.897991009348033, Lightning, 
20, 261, 1, 1, 27.700383533507, Lightning, 
20, 305, 1, 1, 31.2526162325697, Accidental, 
21, 120, 1, 1, 15.2720045377064, Lightning, 
21, 228, 1, 1, 41.5929621914107, Accidental, 
21, 235, 1, 1, 31.2298623526199, Accidental, 
21, 324, 1, 1, 22.6154093447927, Accidental, 
23, 267, 1, 1, 49.7592793969668, Accidental, 
24, 229, 1, 1, 38.7362024669848, Accidental, 
25, 110, 1, 1, 10.9996809973823, Lightning, 
27, 65, 1, 1, 0.750730647357081, Lightning, 
27, 201, 1, 1, 37.7015460030784, Accidental, 
28, 123, 1, 1, 8.87728450032531, Lightning, 
29, 127, 1, 1, 18.5528640609676, Lightning, 
30, 212, 1, 1, 35.4365398581093, Accidental, 
30, 224, 1, 1, 40.5874133232912, Accidental, 
31, 252, 1, 1, 23.4786358430488, Lightning, 
32, 270, 1, 1, 30.2946908358132, Lightning, 
32, 271, 1, 1, 34.828907666671, Accidental, 
34, 311, 1, 1, 28.5260175259541, Accidental, 
35, 244, 1, 1, 41.9706423914895, Accidental, 
35, 281, 1, 1, 40.0486711413817, Accidental, 
36, 67, 1, 1, 14.6282395940731, Lightning, 
36, 228, 1, 1, 49.1895493410578, Accidental, 
36, 277, 1, 1, 23.2069010932747, Lightning, 
37, 137, 1, 1, 19.3951029331156, Accidental, 
40, 221, 1, 1, 48.3126024261227, Accidental, 
41, 241, 1, 1, 38.4314924172883, Accidental, 
