SimulationYear,DayOfYear,AttemptedNumberIgnitions,ActualNumberIgnitions,FireWeatherIndex,IgnitionType,
1, 187, 1, 1, 21.9767883639763, Lightning, 
6, 136, 1, 1, 20.3199609861462, Accidental, 
6, 186, 1, 1, 36.3152248454618, Accidental, 
7, 213, 1, 1, 34.9042843995625, Lightning, 
8, 153, 1, 1, 32.2508979707089, Lightning, 
8, 270, 1, 1, 40.6825111530077, Accidental, 
9, 215, 1, 1, 30.7952766119091, Accidental, 
9, 254, 1, 1, 51.0247408895133, Accidental, 
9, 272, 1, 1, 43.101365827366, Accidental, 
12, 168, 1, 1, 32.5786230050678, Accidental, 
12, 225, 1, 1, 27.4957310676733, Accidental, 
12, 262, 1, 1, 39.304828323028, Lightning, 
13, 325, 1, 1, 14.7523371172268, Lightning, 
14, 255, 1, 1, 42.4023222566668, Lightning, 
14, 319, 1, 1, 23.6718344524331, Accidental, 
15, 285, 1, 1, 23.9713059561678, Accidental, 
17, 183, 1, 1, 31.5848422097697, Accidental, 
18, 194, 1, 1, 29.9364454536447, Lightning, 
18, 262, 1, 1, 29.8798211148884, Accidental, 
20, 232, 1, 1, 30.601107064517, Accidental, 
20, 288, 1, 1, 66.0781056770156, Lightning, 
20, 294, 1, 1, 45.5633032318527, Accidental, 
23, 165, 1, 1, 29.3159826563746, Accidental, 
24, 248, 1, 1, 34.156013098903, Lightning, 
25, 124, 1, 1, 27.8608041535858, Lightning, 
25, 212, 1, 1, 35.1396631174273, Accidental, 
25, 216, 1, 1, 37.0890517448222, Lightning, 
25, 220, 1, 1, 38.0207909033157, Lightning, 
27, 247, 1, 1, 40.337077202122, Accidental, 
27, 273, 1, 1, 35.2558115847757, Lightning, 
27, 285, 1, 1, 32.4145797404667, Accidental, 
28, 7, 1, 1, 0, Accidental, 
28, 189, 1, 1, 41.1468594867523, Accidental, 
28, 199, 1, 1, 22.328404032085, Accidental, 
28, 283, 1, 1, 18.8701142036229, Accidental, 
29, 200, 1, 1, 41.9131001978108, Lightning, 
29, 226, 1, 1, 49.9784530731634, Accidental, 
29, 238, 1, 1, 44.0280373142717, Accidental, 
29, 249, 1, 1, 50.9322789507655, Accidental, 
29, 250, 1, 1, 50.8012898314442, Accidental, 
30, 272, 1, 1, 34.983041252912, Lightning, 
33, 221, 1, 1, 44.151665461305, Lightning, 
33, 275, 1, 1, 55.7334172111485, Lightning, 
