Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 7918, 19612, 0, 5, 2935, 
5, -223.1, 8003.9, 21823.1, 481.6, 11.08, 3521.2, 
10, -183.3, 7436.2, 23441.7, 485.1, 11.47, 3959.2, 
15, -196.7, 7128.4, 24908.6, 436.6, 12.84, 4245.6, 
20, -120.9, 7002.5, 25604.8, 412.9, 11.65, 4508.5, 
25, -104.5, 6983.9, 26289, 376.2, 11.43, 4717.7, 
30, -47.4, 6955.5, 26475.9, 362.5, 11.7, 4854.7, 
35, -48.3, 6916.6, 26785.6, 401, 12.71, 4834.6, 
40, -67.5, 6930.5, 26781.9, 358.1, 11.52, 4947.8, 
45, -33.6, 6936.1, 26550.7, 316.6, 12.44, 5053.1, 
50, -20.9, 6938.9, 26134.9, 305.1, 12.89, 5146.6, 
55, -10.7, 6961.5, 25873.5, 296.1, 13.03, 5185.3, 
60, -4.6, 6949.6, 25340.2, 288.6, 12.91, 5212.7, 
65, 1.3, 6951.5, 24990.8, 282, 12.69, 5197.9, 
70, 5.9, 6966.6, 24774.7, 277.1, 12.41, 5169.1, 
75, 10.3, 6986.9, 24627.3, 272.9, 12.09, 5148.2, 
80, 12.3, 6981.8, 24349.6, 269.6, 11.75, 5129.2, 
