Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 4123, 35452, 0, 5, 2836.9, 
5, -145.3, 4460.2, 36108, 395.2, 18.31, 3903.2, 
10, -135.5, 4218.2, 36456, 391, 14.48, 4560.3, 
15, -108.2, 4182.6, 36277, 378.7, 12.61, 4966.9, 
20, -20.4, 4296.1, 36100, 364.6, 8.69, 5238.4, 
25, -99.3, 4454.6, 35859, 423.1, 5.66, 5402.3, 
30, -123.7, 4610.2, 35505, 373.3, 2.64, 5593.2, 
35, -32.2, 4794.4, 35262, 322, 1.4, 5615.5, 
40, 47.8, 4944.6, 35046, 321.9, 1.8, 5485.9, 
45, -28.3, 5040.9, 34834, 340, 1.29, 5418.9, 
50, 74.3, 5123.5, 34441, 314, 1.34, 5370.4, 
55, 14.2, 5218, 33848, 321.9, 1.16, 5408.6, 
60, 87.6, 5261.1, 33369, 323.8, 1.48, 5394.9, 
65, -82.1, 5331.4, 33466, 348.2, 0.77, 5396.9, 
70, 66.8, 5374.2, 32870, 199.3, 1.7, 5399.8, 
75, 38.7, 5462.8, 32575, 262.1, 1.3, 5423.4, 
80, -23.2, 5488, 32526, 378.6, 0.64, 5359.3, 
