Time,ROS,AgentName,CohortsKilled,DamagedSites,TotalBiomassMortality,MeanSeverity,ClimateThreshold1,ClimateThreshold2,
1, 1, WPBR_chronic, 2, 2, 389, 1, 0, 5, 
3, 1, WPBR_chronic, 1, 1, 134, 1, 53.8, 1.41, 
4, 1, WPBR_chronic, 2, 1, 330, 1, 67.03, 5.13, 
5, 1, WPBR_chronic, 1, 1, 218, 1, 79.15, 4.08, 
6, 1, WPBR_chronic, 2, 1, 556, 1, 565.26, -4.68, 
11, 3, FirEngraver, 2865, 181, 1445123, 1.02, 606.06, 4.26, 
12, 1, FirEngraver, 1294, 71, 710419, 1, 605.67, 5.64, 
13, 1, FirEngraver, 1245, 69, 673204, 1, 606.52, 2.9, 
15, 2, FirEngraver, 2299, 118, 1307064, 1, 605.78, 3.31, 
15, 1, WPBR_chronic, 3, 2, 708, 1, 605.78, 3.31, 
21, 2, FirEngraver, 2914, 160, 1603982, 1, 599.56, 3.38, 
22, 2, FirEngraver, 2583, 132, 1416620, 1, 597.27, 2.64, 
24, 1, WPBR_chronic, 1, 1, 606, 1, 598.18, 1.11, 
25, 1, FirEngraver, 1210, 71, 701669, 1, 597.28, 5.42, 
27, 1, JeffreyPineBeetle, 668, 113, 276706, 1, 695.58, 2.92, 
27, 3, MountainPineBeetle, 1313, 276, 467689, 1.95, 695.58, 2.92, 
27, 1, FirEngraver, 1168, 74, 612528, 1, 695.58, 2.92, 
27, 2, FirEngraver_Peak, 15639, 1020, 8123556, 1.99, 695.58, 2.92, 
27, 1, WPBR_chronic, 1, 1, 248, 1, 695.58, 2.92, 
28, 3, JeffreyPineBeetle, 2323, 371, 1010938, 2.01, 690.79, 2.74, 
28, 3, MountainPineBeetle, 1122, 251, 410310, 1.93, 690.79, 2.74, 
28, 3, FirEngraver, 4114, 221, 2309706, 1.04, 690.79, 2.74, 
28, 2, FirEngraver_Peak, 14756, 977, 7707228, 1.98, 690.79, 2.74, 
30, 2, JeffreyPineBeetle, 1479, 228, 643940, 1.39, 680.84, 3.31, 
30, 1, JeffreyPineBeetle, 382, 64, 167997, 1, 680.84, 3.31, 
30, 1, MountainPineBeetle, 397, 74, 154126, 1, 680.84, 3.31, 
30, 2, FirEngraver, 2242, 131, 1228055, 1, 680.84, 3.31, 
30, 2, FirEngraver_Peak, 13573, 883, 7197482, 1.99, 680.84, 3.31, 
30, 1, WPBR_chronic, 2, 1, 684, 1, 680.84, 3.31, 
30, 2, WPineBeetle, 3196, 431, 1373521, 2.81, 680.84, 3.31, 
35, 1, WPBR_chronic, 1, 1, 286, 1, 588.02, 2.09, 
36, 1, WPBR_chronic, 2, 1, 308, 1, 573.5, 7.01, 
