SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 2, 0, 663, 2, 0, 51, 9214, 0, 3964853, 
2, 352, 1, 494, 2, 1, 38, 2025972, 4169, 3039736, 
3, 1, 0, 611, 1, 0, 47, 11134, 0, 3461769, 
4, 0, 1, 743, 0, 1, 58, 0, 3161, 4446749, 
5, 0, 0, 481, 0, 0, 37, 0, 0, 2746893, 
6, 0, 0, 412, 0, 0, 32, 0, 0, 2568378, 
7, 0, 0, 364, 0, 0, 28, 0, 0, 2216748, 
8, 0, 1, 862, 0, 1, 67, 0, 8478, 4774136, 
9, 0, 0, 767, 0, 0, 59, 0, 0, 4501894, 
10, 0, 0, 1001, 0, 0, 77, 0, 0, 5896426, 
11, 0, 1, 715, 0, 1, 55, 0, 13729, 3669768, 
12, 2, 0, 715, 2, 0, 55, 13232, 0, 4120587, 
13, 1, 0, 598, 1, 0, 46, 336, 0, 2895147, 
14, 1, 0, 611, 1, 0, 47, 8723, 0, 3023255, 
15, 2, 1, 767, 2, 1, 59, 10478, 6248, 3968392, 
16, 0, 2, 772, 0, 2, 60, 0, 9944, 3563896, 
17, 0, 1, 416, 0, 1, 32, 0, 1851, 1988463, 
18, 0, 0, 611, 0, 0, 47, 0, 0, 2524539, 
19, 0, 0, 845, 0, 0, 65, 0, 0, 3944952, 
20, 1, 0, 416, 1, 0, 32, 3712, 0, 2049790, 
21, 0, 0, 910, 0, 0, 70, 0, 0, 3977901, 
22, 0, 1, 598, 0, 1, 46, 0, 13511, 2727867, 
23, 1, 0, 468, 1, 0, 36, 5211, 0, 2072653, 
24, 0, 2, 728, 0, 2, 56, 0, 17399, 3066794, 
25, 2, 0, 377, 2, 0, 29, 9515, 0, 1677632, 
26, 0, 0, 793, 0, 0, 61, 0, 0, 2841200, 
27, 1, 0, 871, 1, 0, 67, 3051, 0, 2854869, 
28, 0, 1, 776, 0, 1, 60, 0, 5460, 2787820, 
29, 0, 0, 1040, 0, 0, 80, 0, 0, 3599536, 
30, 1, 0, 767, 1, 0, 59, 4634, 0, 2734630, 
31, 0, 0, 416, 0, 0, 32, 0, 0, 1533462, 
32, 16, 0, 637, 3, 0, 49, 69741, 0, 2300104, 
33, 0, 0, 1014, 0, 0, 78, 0, 0, 3400770, 
34, 0, 0, 494, 0, 0, 38, 0, 0, 1513808, 
35, 1, 1, 1040, 1, 1, 80, 5881, 2540, 3589803, 
36, 0, 1, 364, 0, 1, 28, 0, 3005, 1271368, 
37, 0, 0, 481, 0, 0, 37, 0, 0, 1693564, 
38, 0, 1, 494, 0, 1, 38, 0, 7219, 1641883, 
39, 1, 1, 416, 1, 1, 32, 4362, 6758, 1546543, 
40, 1, 2, 598, 1, 2, 46, 3343, 2586, 2063552, 
41, 0, 0, 412, 0, 0, 32, 0, 0, 1376613, 
