SimulationYear,DayOfYear,AttemptedNumberIgnitions,ActualNumberIgnitions,FireWeatherIndex,IgnitionType,
3, 116, 4, 4, 8.09181720949761, Rx, 
3, 117, 4, 4, 6.55642755690956, Rx, 
3, 118, 4, 4, 6.6671439561932, Rx, 
3, 119, 4, 4, 7.45932044642939, Rx, 
3, 120, 4, 4, 6.64897140566061, Rx, 
3, 121, 4, 4, 7.35407566701555, Rx, 
3, 123, 4, 4, 8.99085717513365, Rx, 
3, 132, 4, 4, 7.5574615949208, Rx, 
3, 133, 4, 4, 8.45879946734107, Rx, 
3, 142, 4, 4, 9.68035865365844, Rx, 
3, 143, 4, 4, 12.3975116767764, Rx, 
3, 145, 4, 4, 14.727630736766, Rx, 
3, 146, 4, 4, 16.6168250298712, Rx, 
3, 149, 4, 4, 10.3242849272576, Rx, 
3, 159, 4, 4, 8.52846037331054, Rx, 
3, 160, 4, 4, 10.1325587771493, Rx, 
3, 162, 4, 4, 14.5442314585741, Rx, 
3, 169, 4, 4, 13.1602504940764, Rx, 
3, 170, 4, 4, 13.8577615260027, Rx, 
3, 173, 4, 4, 20.182421281101, Rx, 
3, 174, 4, 4, 19.9977491963456, Rx, 
3, 178, 4, 4, 20.7103014728702, Rx, 
3, 180, 4, 4, 23.7425370841376, Rx, 
3, 181, 4, 4, 26.0745905837416, Rx, 
3, 183, 4, 4, 26.2348288288645, Rx, 
3, 184, 4, 4, 27.0402299225893, Rx, 
3, 185, 4, 4, 27.4571212939634, Rx, 
3, 186, 4, 4, 26.9531828546314, Rx, 
3, 191, 4, 4, 23.2482928573125, Rx, 
3, 194, 4, 4, 32.0829690129434, Rx, 
3, 199, 4, 4, 35.783035752906, Rx, 
3, 201, 4, 4, 35.5537685973648, Rx, 
3, 207, 1, 1, 40.3483899621197, Accidental, 
3, 209, 4, 4, 35.9742598311942, Rx, 
3, 211, 4, 4, 33.2823392765964, Rx, 
3, 217, 4, 4, 37.3468028843573, Rx, 
3, 227, 4, 4, 30.0448591369503, Rx, 
3, 228, 4, 4, 32.6661260620396, Rx, 
3, 253, 4, 4, 22.7005186129069, Rx, 
3, 254, 4, 4, 23.3771908319056, Rx, 
3, 255, 4, 4, 25.6542756385271, Rx, 
3, 256, 4, 4, 26.5973014325899, Rx, 
3, 257, 4, 4, 26.1702388085939, Rx, 
3, 259, 4, 4, 23.7552362253505, Rx, 
3, 260, 4, 4, 25.6706277969865, Rx, 
3, 269, 4, 4, 23.3046581230052, Rx, 
3, 280, 4, 4, 27.8898052783405, Rx, 
3, 281, 4, 4, 28.6031571384955, Rx, 
3, 284, 4, 4, 32.2423923484316, Rx, 
