Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 7749.4, 19336.1, 0, 5, 2946, 
5, -233.8, 7875.4, 22196.1, 486.1, 11.05, 3605.4, 
10, -198.4, 7351.1, 24447.5, 500.5, 11.09, 4091.2, 
15, -201.3, 7074.5, 25964.9, 444, 12.14, 4435.1, 
20, -125.7, 6986.1, 26764.5, 421, 11.07, 4704.1, 
25, -100.9, 6988.4, 27299.4, 380.9, 10.63, 4959.9, 
