EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,MaximumSpreadArea,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,AvailableCohorts,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanPET,MeanWD,MeanClay,MeanFineFuels,MeanLadderFuels,MeanDNBR,TotalBiomassMortality,
67, 4, 307, 112, 3.22240423752505, 24, 244, Accidental, 1, 1, 28, 28, 23.0877262296, 24.4567125481543, 212.85238386, NaN, 3.22, NaN, 0, 0, 0.215060502290726, 0.0820719045003255, 0, 1454, 6376, 
68, 4, 749, 482, 1.60606971407075, 33, 105, Accidental, 1, 1, 14, 38, 13.6701802152, 14.0143464151406, 150.7033484, NaN, 1.61, NaN, 0, 0, 0.0378793403506279, 0.994553480360243, 287, 264, 4916, 
69, 4, 302, 183, 0.895641807112472, 90, 94, Lightning, 1, 1, 48, 96, 11.2114454472, 14.1457527634347, 195.93134238, NaN, 0.9, NaN, 0, 0, 0.300000011920929, 0.615685465494792, 287, 401, 15114, 
70, 4, 300, 89, 5.9700892283695, 97, 174, Accidental, 1, 1, 57, 58, 11.60267751, 13.3311451497441, 201.09604651, NaN, 5.97, NaN, 0, 0, 0.202747970819473, 0.315960508897569, 0, 844, 14832, 
71, 4, 369, 206, 29.1308223827731, 173, 598, Accidental, 1, 1, 29, 65, 13.9521565476, 15.0696420837255, 243.82543253, NaN, 29.13, NaN, 0, 0, 0.129999995231628, 0.816548311360677, 153, 321, 11472, 
72, 4, 247, 551, 20.04659082193, 174, 480, Lightning, 1, 1, 47, 47, 16.7900427108, 18.9020830687895, 3.25724489999999, NaN, 20.05, NaN, 0, 0, 0.129999995231628, 0, 1210, 1023, 17409, 
73, 4, 189, 332, 18.5355063250797, 189, 415, Accidental, 1, 1, 27, 43, 11.4911185932, 15.3291258269874, 82.4142437, NaN, 18.54, NaN, 0, 0, 0.143702268600464, 0.638741971842448, 0, 419, 12434, 
74, 4, 654, 542, 29.5635131761427, 192, 579, Lightning, 1, 1, 59, 59, 14.1168408552, 12.5412802515768, 340.1064976, NaN, 29.56, NaN, 0, 0, 0.0251089222729206, 0, 168, 2000, 17489, 
75, 4, 410, 568, 20.3113987283773, 201, 396, Accidental, 1, 1, 24, 33, 7.182701802, 10.5588679239998, 241.75871575, NaN, 20.31, NaN, 0, 0, 0.12481477111578, 0.651128557671441, 326, 401, 12653, 
76, 4, 279, 278, 32.2357836615807, 205, 624, Lightning, 1, 1, 12, 46, 15.3541533636, 12.3519354791519, 234.03517561, NaN, 32.24, NaN, 0, 0, 0.129999995231628, 1, 174, 270, 6560, 
77, 4, 99, 193, 27.8869859976176, 210, 523, Lightning, 1, 1, 21, 62, 9.1949936724, 10.0183780373623, 232.00992785, NaN, 27.89, NaN, 0, 0, 0.122361078858376, 0.843107952202691, 636, 297, 6301, 
78, 4, 214, 151, 29.506820227474, 213, 549, Accidental, 1, 1, 31, 57, 8.9813476656, 9.80544446929416, 243.40409892, NaN, 29.51, NaN, 0, 0, 0.129999995231628, 0.733579363335503, 0, 391, 9514, 
79, 4, 363, 416, 26.8009090611344, 219, 480, Lightning, 1, 1, 41, 43, 11.0529022356, 7.74917505603847, 268.02793088, NaN, 26.8, NaN, 0, 0, 0.108600422739983, 0.278488004557292, 578, 815, 29213, 
80, 4, 590, 414, 23.6985833773556, 221, 498, Lightning, 1, 1, 26, 43, 12.1192170048, 14.5921374050745, 256.04466153, NaN, 23.7, NaN, 0, 0, 0.100000001490116, 0.536104204644097, 929, 387, 15368, 
81, 4, 624, 270, 29.689178745297, 247, 620, Accidental, 1, 1, 9, 11, 8.5978277676, 16.237161066749, 165.4995095, NaN, 29.69, NaN, 0, 0, 0.129999995231628, 0.551851193576389, 0, 476, 2032, 
82, 4, 352, 472, 30.0699080817669, 254, 566, Accidental, 1, 1, 28, 32, 11.19286809, 10.4575124292507, 205.64405243, NaN, 30.07, NaN, 0, 0, 0.0951458513736725, 0.473052277967665, 525, 508, 11497, 
83, 4, 303, 462, 16.5205962930804, 265, 332, Lightning, 1, 1, 48, 49, 8.5469000328, 10.7961907716745, 279.61165655, NaN, 16.52, NaN, 0, 0, 0.0381697788834572, 0.330681731499566, 377, 736, 16647, 
84, 4, 460, 128, 20.1181465206012, 270, 387, Accidental, 1, 1, 10, 14, 8.8359239232, 9.99707089954446, 359.0686468, NaN, 20.12, NaN, 0, 0, 0.129999995231628, 0.610322424316406, 0, 472, 2869, 
85, 4, 632, 385, 18.863459095033, 272, 428, Accidental, 1, 1, 22, 40, 12.0455609868, 15.9782184719277, 233.50468936, NaN, 18.86, NaN, 0, 0, 0.108939856290817, 0.739081821017795, 522, 323, 6554, 
86, 4, 300, 164, 21.6042478001583, 287, 438, Accidental, 1, 1, 25, 75, 10.725512706, 12.3957294091484, 158.1513999, NaN, 21.6, NaN, 0, 0, 0.209999993443489, 0.954984246148003, 705, 256, 7119, 
87, 4, 587, 335, 22.5417278248746, 291, 470, Accidental, 1, 1, 13, 45, 10.0660312656, 13.8394579889782, 161.7557357, NaN, 22.54, NaN, 0, 0, 0.142713636159897, 0.667361623806423, 1440, 297, 12700, 
88, 4, 462, 227, 29.4388661600824, 298, 618, Lightning, 1, 1, 35, 70, 13.1032642104, 16.4017862358363, 162.1488831, NaN, 29.44, NaN, 0, 0, 0.187777817249298, 0.601730746799045, 0, 435, 13293, 
89, 4, 602, 503, 22.0579979696823, 299, 463, Accidental, 1, 1, 30, 39, 9.948982806, 13.962793935994, 198.11036507, NaN, 22.06, NaN, 0, 0, 0.0495787151157856, 0.655988309733073, 150, 403, 13835, 
90, 5, 488, 162, 2.69190999422501, 18, 7, Lightning, 1, 1, 32, 66, 6.141132036, 2.91914916678068, 134.9823285, NaN, 2.69, NaN, 0, 0, 0.129999995231628, 0.784329520670573, 0, 395, 19250, 
