Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 7749.4, 19336.1, 0, 5, 2946, 
5, 30.4, 8433.6, 20589, 323.6, 18.72, 2344.9, 
10, 4.3, 7956.3, 21549.8, 341.5, 18.71, 2248.5, 
15, -61.7, 7570.9, 22190.6, 346.4, 15.35, 2322.4, 
20, 4.1, 7209, 22675.3, 330.5, 15.81, 2461.3, 
25, -85.3, 7008.4, 23020, 306, 13.38, 2712.5, 
30, -74.5, 6821.5, 23589.5, 338.2, 13.43, 2930.6, 
35, -85.6, 6741.5, 23891.1, 299, 11.22, 3165.1, 
40, -56.6, 6682.1, 24356.2, 338.4, 10.68, 3351.3, 
45, -69.6, 6669.5, 24737.3, 327.9, 9.61, 3562.7, 
50, -20.2, 6667.6, 25130.2, 337.7, 9.46, 3732.7, 
55, -119.2, 6689.5, 25561.3, 352.4, 8.17, 3893.4, 
60, -42.7, 6724.9, 25632.5, 376, 8.18, 4129.2, 
65, -42.3, 6763.6, 25764.3, 406.2, 7, 4251.7, 
70, -40, 6809.6, 25973.6, 359.7, 6.23, 4376.9, 
75, -27.1, 6859.5, 26233, 317.2, 5.32, 4450.9, 
80, -75.6, 6928.9, 26480, 357.2, 4.41, 4561.2, 
