SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 2, 0, 1040, 2, 0, 80, 12911, 0, 6579227, 
2, 0, 1, 975, 0, 1, 75, 0, 9059, 5922066, 
3, 0, 1, 741, 0, 1, 57, 0, 16880, 4553911, 
4, 0, 0, 1040, 0, 0, 80, 0, 0, 6121536, 
5, 0, 0, 897, 0, 0, 69, 0, 0, 5257478, 
6, 0, 1, 815, 0, 1, 63, 0, 9845, 4816477, 
7, 318, 0, 546, 1, 0, 42, 2143359, 0, 3224017, 
8, 0, 0, 923, 0, 0, 71, 0, 0, 5189799, 
9, 1, 0, 572, 1, 0, 44, 5018, 0, 3441929, 
10, 1, 0, 1031, 1, 0, 80, 3252, 0, 5831381, 
11, 0, 0, 1040, 0, 0, 80, 0, 0, 5836100, 
12, 0, 0, 1040, 0, 0, 80, 0, 0, 5547657, 
13, 0, 1, 819, 0, 1, 63, 0, 529, 4247931, 
14, 0, 0, 1040, 0, 0, 80, 0, 0, 5698473, 
15, 0, 0, 1040, 0, 0, 80, 0, 0, 5637016, 
16, 0, 0, 572, 0, 0, 44, 0, 0, 2517250, 
17, 0, 0, 1040, 0, 0, 80, 0, 0, 4369668, 
18, 2, 0, 923, 2, 0, 71, 5451, 0, 3933674, 
19, 0, 0, 1036, 0, 0, 80, 0, 0, 4478706, 
20, 0, 0, 1040, 0, 0, 80, 0, 0, 4327311, 
21, 0, 0, 897, 0, 0, 69, 0, 0, 3579728, 
22, 1, 0, 1040, 1, 0, 80, 136, 0, 4628792, 
23, 0, 0, 1040, 0, 0, 80, 0, 0, 4302089, 
24, 0, 0, 1040, 0, 0, 80, 0, 0, 4313508, 
25, 0, 0, 1040, 0, 0, 80, 0, 0, 4136063, 
26, 0, 0, 1040, 0, 0, 80, 0, 0, 4331375, 
27, 30, 0, 546, 3, 0, 42, 142450, 0, 2573512, 
28, 3, 1, 572, 1, 1, 44, 14755, 1994, 2665570, 
29, 0, 0, 897, 0, 0, 69, 0, 0, 3864041, 
30, 0, 1, 1040, 0, 1, 80, 0, 4255, 4659791, 
31, 0, 0, 1040, 0, 0, 80, 0, 0, 4335872, 
32, 19, 0, 572, 1, 0, 44, 76952, 0, 2340333, 
33, 0, 0, 741, 0, 0, 57, 0, 0, 2845154, 
34, 1, 2, 1040, 1, 2, 80, 2914, 10725, 3934797, 
35, 131, 0, 702, 2, 0, 54, 479889, 0, 2904506, 
36, 0, 0, 1040, 0, 0, 80, 0, 0, 3504521, 
37, 1, 0, 923, 1, 0, 71, 3581, 0, 3220045, 
38, 0, 0, 1040, 0, 0, 80, 0, 0, 3527014, 
39, 1, 0, 871, 1, 0, 67, 2331, 0, 2902790, 
40, 0, 0, 1040, 0, 0, 80, 0, 0, 3345693, 
41, 0, 0, 624, 0, 0, 48, 0, 0, 2113932, 
42, 0, 1, 1040, 0, 1, 80, 0, 5691, 3508021, 
43, 0, 0, 1040, 0, 0, 80, 0, 0, 3586678, 
44, 1781, 0, 871, 1, 0, 67, 6022975, 0, 2820507, 
45, 0, 2, 975, 0, 2, 75, 0, 13300, 3486703, 
46, 1, 0, 1040, 1, 0, 80, 1239, 0, 3228381, 
47, 0, 1, 1040, 0, 1, 80, 0, 10182, 3281828, 
48, 0, 0, 975, 0, 0, 75, 0, 0, 3116936, 
49, 1, 0, 663, 1, 0, 51, 3225, 0, 2072425, 
50, 0, 2, 416, 0, 2, 32, 0, 9959, 1252542, 
51, 1, 0, 1040, 1, 0, 80, 2812, 0, 3146185, 
52, 0, 0, 975, 0, 0, 75, 0, 0, 3136645, 
53, 1, 0, 1040, 1, 0, 80, 2578, 0, 3192127, 
54, 1, 1, 1040, 1, 1, 80, 1501, 6561, 3156936, 
55, 0, 0, 1033, 0, 0, 80, 0, 0, 3357819, 
56, 0, 0, 1040, 0, 0, 80, 0, 0, 3302045, 
57, 0, 1, 546, 0, 1, 42, 0, 5039, 1537348, 
58, 0, 0, 1040, 0, 0, 80, 0, 0, 3178051, 
59, 0, 0, 1040, 0, 0, 80, 0, 0, 3119346, 
60, 0, 0, 1040, 0, 0, 80, 0, 0, 3114901, 
61, 0, 1, 737, 0, 1, 57, 0, 0, 2246959, 
62, 0, 0, 1040, 0, 0, 80, 0, 0, 2968078, 
63, 0, 1, 975, 0, 1, 75, 0, 5443, 2969624, 
64, 0, 0, 1040, 0, 0, 80, 0, 0, 3094886, 
65, 0, 0, 416, 0, 0, 32, 0, 0, 1230919, 
66, 4, 1, 624, 2, 1, 48, 7577, 2562, 1405235, 
67, 0, 0, 1010, 0, 0, 78, 0, 0, 2671738, 
68, 0, 0, 895, 0, 0, 69, 0, 0, 2406964, 
69, 0, 0, 1036, 0, 0, 80, 0, 0, 2745531, 
70, 0, 2, 1040, 0, 2, 80, 0, 3883, 2764421, 
71, 1, 0, 702, 1, 0, 54, 4470, 0, 1858579, 
72, 0, 1, 1040, 0, 1, 80, 0, 1542, 2627689, 
73, 1, 0, 1040, 1, 0, 80, 3261, 0, 2690623, 
74, 0, 0, 1040, 0, 0, 80, 0, 0, 2627626, 
75, 0, 0, 1040, 0, 0, 80, 0, 0, 2710856, 
76, 0, 0, 1014, 0, 0, 78, 0, 0, 2704477, 
77, 1, 0, 1040, 1, 0, 80, 2995, 0, 2897939, 
78, 0, 1, 1040, 0, 1, 80, 0, 2465, 3031397, 
79, 0, 0, 975, 0, 0, 75, 0, 0, 2554093, 
80, 1, 0, 1040, 1, 0, 80, 2597, 0, 3110631, 
81, 1, 1, 1040, 1, 1, 80, 743, 2565, 2317114, 
