Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 7749.4, 19336.1, 0, 5, 2946, 
5, -252.3, 7745.3, 21502, 517.6, 13.27, 3462.2, 
10, -183, 7221.5, 23009.9, 484.9, 13.29, 3914.1, 
15, -156.8, 6981.2, 23937.1, 440.6, 13.56, 4190.9, 
20, -113.8, 6876.9, 24271.9, 416.1, 13.37, 4426.3, 
25, -96.7, 6787.5, 24993, 390.1, 13.08, 4525.6, 
30, -47.9, 6764.8, 25173.2, 384.8, 12.31, 4655.1, 
35, -81.8, 6749.1, 25341, 362.9, 13.46, 4740.2, 
40, -15.7, 6807.7, 24067.4, 292.3, 12.89, 5249, 
45, -22.1, 6851.9, 24019.4, 280.5, 10.15, 5168.8, 
50, -15.7, 6863.7, 23943.8, 303.4, 8.72, 5077.5, 
55, 32.1, 6849.1, 23636.1, 299.6, 8.19, 5060.3, 
60, 34.1, 6832, 23422.8, 298.3, 7.79, 5009.9, 
65, -3.1, 6798.7, 23243, 284.8, 7.28, 4958.3, 
70, 26.4, 6800.6, 22931.8, 278.2, 6.26, 4957.7, 
75, 43.7, 6785.9, 22586.5, 252.9, 5.71, 4917.1, 
80, -23.8, 6773.2, 22433.4, 260.6, 5.14, 4906, 
