Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
5, PinuAlbi, eco1, 590, 0, 1, 0.62, 0, 173.68, 0, 328.59, 
5, PinuAlbi, eco2, 2471, 0, 1, 0.47, 0, 214.6, 0, 323.87, 
5, PinuAlbi, eco3, 1609, 0, 1, 0.49, 0, 190.73, 20.6, 319.5, 
5, PinuAlbi, eco4, 2105, 0, 1, 0.48, 0, 183.26, 30.57, 319.05, 
5, PinuAlbi, eco5, 1732, 0.03, 1, 0.59, 0.02, 146.63, 55.4, 315.55, 
5, PinuAlbi, eco6, 2693, 0.86, 1, 0.37, 0.22, 123.23, 111.56, 272.8, 
5, PinuAlbi, eco7, 1576, 0.98, 1, 0.48, 0.29, 100.31, 115.99, 261.27, 
5, PinuAlbi, eco8, 433, 1, 1, 0.53, 0.32, 87.12, 118.41, 255.9, 
5, PinuAlbi, eco9, 24, 0.97, 1, 0.58, 0.35, 75.63, 121, 250, 
5, PinuAlbi, eco10, 2, 0.87, 1, 0.7, 0.42, 52, 130, 243, 
5, PinuCont, eco1, 2401, 0, 1, 0.75, 0, 118.65, 0, 328.9, 
5, PinuCont, eco2, 3923, 0, 1, 0.56, 0, 175.32, 0, 324.86, 
5, PinuCont, eco3, 1665, 0, 1, 0.53, 0, 172.84, 17.11, 321.01, 
5, PinuCont, eco4, 2603, 0, 1, 0.48, 0, 176.31, 30.88, 321.22, 
5, PinuCont, eco5, 2852, 0.05, 1, 0.53, 0.03, 152.19, 57.28, 314.48, 
5, PinuCont, eco6, 3797, 0.9, 1, 0.34, 0.21, 122.92, 111.71, 272.69, 
5, PinuCont, eco7, 2118, 0.99, 1, 0.42, 0.25, 102.8, 117.5, 262.47, 
5, PinuCont, eco8, 318, 0.97, 1, 0.5, 0.3, 88.93, 117.69, 255.41, 
5, PinuCont, eco9, 20, 0.92, 1, 0.59, 0.35, 72.8, 121, 250, 
5, PinuCont, eco10, 9, 0.74, 1, 0.69, 0.42, 51.67, 130, 243, 
5, PinuJeff, eco1, 1733, 0, 1, 0.75, 0, 128.16, 0, 328.87, 
5, PinuJeff, eco2, 3604, 0, 1, 0.59, 0, 188.4, 0, 324.51, 
5, PinuJeff, eco3, 1717, 0, 1, 0.58, 0, 178.47, 18.93, 320.43, 
5, PinuJeff, eco4, 2548, 0, 1, 0.56, 0, 176.21, 30.99, 320.35, 
5, PinuJeff, eco5, 2497, 0.49, 1, 0.6, 0.26, 150.44, 57.02, 314.69, 
5, PinuJeff, eco6, 3781, 0.97, 1, 0.42, 0.25, 122.19, 112.56, 272.72, 
5, PinuJeff, eco7, 2218, 0.82, 1, 0.5, 0.3, 101.92, 117.78, 262.36, 
5, PinuJeff, eco8, 414, 0.65, 1, 0.56, 0.33, 88.47, 118.64, 256.01, 
