Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
2026, eco3, 2, 207.35, 15.99, 0, 365, 0, 
2027, eco3, 2, 82.45, 15.75, 52, 365, 0, 
2028, eco3, 2, 156.7, 15.83, 0, 339, 0, 
2029, eco3, 2, 215.81, 15.47, 0, 320, 0, 
2030, eco3, 2, 114.13, 16.14, 0, 344, 0, 
2031, eco3, 2, 120.2, 16.08, 0, 365, 0, 
2032, eco3, 2, 147, 15.35, 0, 365, 0, 
2033, eco3, 2, 205.32, 14.55, 0, 331, 0, 
2034, eco3, 2, 171.66, 15.14, 0, 341, 0, 
2035, eco3, 2, 110.87, 16.22, 0, 323, 0, 
2036, eco3, 2, 180.49, 16.85, 0, 334, 0, 
2037, eco3, 2, 137.17, 16.06, 0, 310, 0, 
2038, eco3, 2, 127.48, 17.38, 0, 343, 0, 
2039, eco3, 2, 154.81, 16.45, 45, 316, 0, 
2040, eco3, 2, 130.81, 16.76, 0, 319, 0, 
2041, eco3, 2, 135.23, 15.92, 0, 315, 0, 
2042, eco3, 2, 186.3, 15.84, 0, 365, 0, 
2043, eco3, 2, 131.49, 16.35, 0, 365, 0, 
2044, eco3, 2, 129.4, 17.5, 0, 288, 0, 
2045, eco3, 2, 141.08, 16.55, 0, 365, 0, 
2046, eco3, 2, 171.1, 17.51, 0, 313, 0, 
2047, eco3, 2, 148.55, 16.14, 0, 308, 0, 
2048, eco3, 2, 182.02, 15.57, 0, 333, 0, 
2049, eco3, 2, 88.95, 16.87, 0, 314, 0, 
2050, eco3, 2, 112.09, 18.07, 0, 315, 0, 
2051, eco3, 2, 117.91, 17.15, 0, 339, 0, 
2052, eco3, 2, 133.43, 16.39, 0, 314, 0, 
2053, eco3, 2, 151.97, 18.33, 0, 365, 0, 
2054, eco3, 2, 177.39, 16.28, 0, 311, 0, 
2055, eco3, 2, 123.66, 17.62, 0, 310, 0, 
2056, eco3, 2, 99.62, 16.61, 0, 326, 0, 
2057, eco3, 2, 126.29, 18.14, 0, 365, 0, 
2058, eco3, 2, 110.6, 16.54, 0, 311, 0, 
2059, eco3, 2, 240.55, 16.59, 0, 365, 0, 
2060, eco3, 2, 233.2, 15.49, 0, 335, 0, 
2020, eco4, 3, 89.13, 15.63, 0, 365, 0, 
2021, eco4, 3, 227.36, 14.03, 0, 312, 0, 
2022, eco4, 3, 122.99, 12.69, 30, 306, 0, 
2023, eco4, 3, 169.94, 13.58, 78, 298, 0, 
2024, eco4, 3, 193.52, 13.01, 17, 321, 0, 
2025, eco4, 3, 121.92, 15.17, 46, 305, 0, 
2026, eco4, 3, 227.41, 14.73, 77, 318, 0, 
2027, eco4, 3, 91.01, 14.49, 58, 320, 0, 
2028, eco4, 3, 171.92, 14.59, 0, 335, 0, 
2029, eco4, 3, 231.48, 14.18, 0, 314, 0, 
2030, eco4, 3, 124.07, 14.87, 76, 337, 0, 
2031, eco4, 3, 131.21, 14.84, 0, 365, 0, 
2032, eco4, 3, 159.42, 14.11, 0, 365, 0, 
2033, eco4, 3, 225.19, 13.28, 0, 325, 0, 
2034, eco4, 3, 186.76, 13.85, 0, 332, 0, 
2035, eco4, 3, 122.48, 14.98, 24, 321, 0, 
2036, eco4, 3, 196.85, 15.62, 0, 329, 0, 
2037, eco4, 3, 148.49, 14.82, 0, 308, 0, 
2038, eco4, 3, 140.7, 16.15, 0, 337, 0, 
2039, eco4, 3, 170.57, 15.2, 51, 312, 0, 
2040, eco4, 3, 145.24, 15.53, 0, 315, 0, 
2041, eco4, 3, 146.7, 14.67, 0, 310, 0, 
2042, eco4, 3, 204.29, 14.62, 0, 365, 0, 
2043, eco4, 3, 139.21, 15.13, 0, 365, 0, 
2044, eco4, 3, 141.22, 16.25, 0, 286, 0, 
2045, eco4, 3, 154.67, 15.31, 0, 346, 0, 
2046, eco4, 3, 185.83, 16.29, 0, 310, 0, 
2047, eco4, 3, 160.69, 14.88, 0, 304, 0, 
2048, eco4, 3, 193.81, 14.34, 0, 328, 0, 
2049, eco4, 3, 98.93, 15.62, 0, 308, 0, 
2050, eco4, 3, 123.85, 16.83, 0, 312, 0, 
2051, eco4, 3, 128.67, 15.89, 0, 332, 0, 
2052, eco4, 3, 147.49, 15.15, 75, 310, 0, 
2053, eco4, 3, 166.18, 17.14, 0, 365, 0, 
2054, eco4, 3, 193.92, 15.03, 0, 307, 0, 
2055, eco4, 3, 133.3, 16.41, 0, 306, 0, 
2056, eco4, 3, 112.01, 15.34, 18, 321, 0, 
2057, eco4, 3, 138.6, 16.86, 0, 318, 0, 
2058, eco4, 3, 122.49, 15.27, 50, 307, 0, 
2059, eco4, 3, 258.97, 15.35, 0, 365, 0, 
2060, eco4, 3, 251.52, 14.23, 0, 318, 0, 
2020, eco5, 4, 89.6, 13.7, 0, 317, 0, 
2021, eco5, 4, 226.95, 12.14, 106, 303, 0, 
2022, eco5, 4, 122.21, 10.75, 39, 294, 0, 
2023, eco5, 4, 170.49, 11.64, 90, 291, 0, 
2024, eco5, 4, 193.24, 11.11, 50, 285, 0, 
2025, eco5, 4, 123.03, 13.23, 61, 296, 0, 
2026, eco5, 4, 228.82, 12.82, 95, 308, 0, 
2027, eco5, 4, 91.8, 12.57, 67, 311, 0, 
2028, eco5, 4, 173.26, 12.73, 0, 323, 0, 
2029, eco5, 4, 229.24, 12.27, 64, 302, 0, 
2030, eco5, 4, 125.12, 12.95, 90, 322, 0, 
2031, eco5, 4, 129.97, 12.96, 106, 312, 0, 
2032, eco5, 4, 160.01, 12.26, 79, 344, 0, 
2033, eco5, 4, 228.68, 11.4, 27, 286, 0, 
2034, eco5, 4, 187.26, 11.95, 24, 287, 0, 
2035, eco5, 4, 124.72, 13.09, 57, 315, 0, 
2036, eco5, 4, 197.49, 13.75, 37, 321, 0, 
2037, eco5, 4, 146.79, 12.92, 0, 301, 0, 
2038, eco5, 4, 144.93, 14.25, 0, 324, 0, 
2039, eco5, 4, 171.09, 13.3, 61, 303, 0, 
2040, eco5, 4, 149.22, 13.62, 0, 304, 0, 
2041, eco5, 4, 146.38, 12.78, 100, 302, 0, 
2042, eco5, 4, 206.11, 12.76, 53, 312, 0, 
2043, eco5, 4, 137.05, 13.28, 47, 349, 0, 
2044, eco5, 4, 139.99, 14.35, 75, 281, 0, 
2045, eco5, 4, 155.85, 13.43, 0, 290, 0, 
2046, eco5, 4, 183.64, 14.41, 51, 302, 0, 
2047, eco5, 4, 161.49, 12.96, 45, 295, 0, 
2048, eco5, 4, 191.48, 12.48, 45, 287, 0, 
2049, eco5, 4, 101.1, 13.7, 38, 297, 0, 
2050, eco5, 4, 127.01, 14.91, 53, 304, 0, 
2051, eco5, 4, 129.94, 13.96, 64, 321, 0, 
2052, eco5, 4, 153.08, 13.25, 84, 300, 0, 
2053, eco5, 4, 167.85, 15.28, 0, 312, 0, 
2054, eco5, 4, 194.99, 13.14, 15, 298, 0, 
2055, eco5, 4, 131.4, 14.53, 21, 297, 0, 
2056, eco5, 4, 114.54, 13.41, 39, 310, 0, 
2057, eco5, 4, 138.7, 14.92, 0, 310, 0, 
2058, eco5, 4, 126.01, 13.31, 64, 298, 0, 
2059, eco5, 4, 260.3, 13.47, 45, 320, 0, 
2060, eco5, 4, 252.37, 12.37, 25, 307, 0, 
2020, eco6, 5, 65.33, 10.84, 59, 294, 0, 
2021, eco6, 5, 171.81, 9.47, 120, 291, 0, 
2022, eco6, 5, 89.04, 7.95, 114, 272, 0, 
2023, eco6, 5, 129.61, 8.81, 106, 277, 0, 
2024, eco6, 5, 149.81, 8.4, 103, 264, 0, 
2025, eco6, 5, 90.27, 10.37, 91, 290, 0, 
2026, eco6, 5, 171.72, 10.06, 116, 291, 0, 
2027, eco6, 5, 69.31, 9.78, 87, 295, 0, 
2028, eco6, 5, 131.71, 10.07, 82, 273, 0, 
2029, eco6, 5, 170.33, 9.58, 102, 280, 0, 
2030, eco6, 5, 92.49, 10.13, 107, 274, 0, 
2031, eco6, 5, 93.23, 10.25, 119, 293, 0, 
2032, eco6, 5, 123.4, 9.64, 103, 288, 0, 
2033, eco6, 5, 173.91, 8.78, 112, 267, 0, 
2034, eco6, 5, 140.44, 9.27, 106, 273, 0, 
2035, eco6, 5, 94.44, 10.36, 97, 277, 0, 
2036, eco6, 5, 150.48, 11.03, 71, 304, 0, 
2037, eco6, 5, 107.43, 10.18, 104, 291, 0, 
2038, eco6, 5, 115.94, 11.49, 57, 276, 0, 
2039, eco6, 5, 127.36, 10.56, 73, 291, 0, 
2040, eco6, 5, 115.48, 10.85, 108, 291, 0, 
2041, eco6, 5, 110.44, 10.04, 115, 291, 0, 
2042, eco6, 5, 153.15, 10.12, 80, 291, 0, 
2043, eco6, 5, 100.81, 10.64, 93, 320, 0, 
2044, eco6, 5, 105.6, 11.55, 97, 269, 0, 
2045, eco6, 5, 115.5, 10.7, 110, 276, 0, 
2046, eco6, 5, 134.77, 11.65, 68, 291, 0, 
2047, eco6, 5, 122.21, 10.21, 111, 291, 0, 
2048, eco6, 5, 142.96, 9.8, 78, 270, 0, 
2049, eco6, 5, 77.92, 10.91, 87, 282, 0, 
2050, eco6, 5, 98.1, 12.05, 73, 291, 0, 
2051, eco6, 5, 100.69, 11.14, 108, 283, 0, 
2052, eco6, 5, 125.45, 10.52, 95, 283, 0, 
2053, eco6, 5, 126.98, 12.59, 63, 294, 0, 
2054, eco6, 5, 145.72, 10.43, 95, 289, 0, 
2055, eco6, 5, 94.83, 11.82, 60, 291, 0, 
2056, eco6, 5, 86.87, 10.61, 89, 274, 0, 
2057, eco6, 5, 105.77, 12.11, 109, 296, 0, 
2058, eco6, 5, 100.96, 10.46, 110, 291, 0, 
2059, eco6, 5, 200.52, 10.77, 84, 298, 0, 
2060, eco6, 5, 198.45, 9.77, 89, 291, 0, 
2020, eco7, 6, 74.34, 9.77, 66, 292, 0, 
2021, eco7, 6, 192.91, 8.34, 124, 291, 0, 
2022, eco7, 6, 99.95, 6.86, 120, 270, 0, 
2023, eco7, 6, 147.67, 7.71, 114, 274, 0, 
2024, eco7, 6, 168.4, 7.29, 113, 262, 0, 
2025, eco7, 6, 103.48, 9.29, 105, 286, 0, 
2026, eco7, 6, 193.51, 8.96, 122, 291, 0, 
2027, eco7, 6, 79.27, 8.7, 93, 293, 0, 
2028, eco7, 6, 147.64, 8.96, 97, 271, 0, 
2029, eco7, 6, 189.95, 8.42, 110, 278, 0, 
2030, eco7, 6, 104.13, 9.03, 112, 273, 0, 
2031, eco7, 6, 105.39, 9.16, 123, 291, 0, 
2032, eco7, 6, 139.18, 8.53, 110, 285, 0, 
2033, eco7, 6, 195.61, 7.65, 134, 265, 0, 
2034, eco7, 6, 159.08, 8.14, 113, 270, 0, 
2035, eco7, 6, 107.4, 9.27, 108, 276, 0, 
2036, eco7, 6, 168.54, 9.96, 82, 299, 0, 
2037, eco7, 6, 120.13, 9.1, 112, 291, 0, 
2038, eco7, 6, 131.7, 10.4, 106, 274, 0, 
2039, eco7, 6, 142.78, 9.47, 107, 291, 0, 
2040, eco7, 6, 130.63, 9.76, 111, 291, 0, 
2041, eco7, 6, 123.52, 8.96, 118, 291, 0, 
2042, eco7, 6, 172.04, 9.03, 86, 291, 0, 
2043, eco7, 6, 114.64, 9.54, 107, 313, 0, 
2044, eco7, 6, 118.49, 10.47, 104, 268, 0, 
2045, eco7, 6, 129.79, 9.62, 113, 274, 0, 
2046, eco7, 6, 152, 10.6, 71, 291, 0, 
2047, eco7, 6, 137.79, 9.1, 115, 288, 0, 
2048, eco7, 6, 160.64, 8.69, 91, 269, 0, 
2049, eco7, 6, 88.28, 9.82, 93, 281, 0, 
2050, eco7, 6, 111.53, 10.98, 79, 291, 0, 
2051, eco7, 6, 114.04, 10.03, 113, 282, 0, 
2052, eco7, 6, 141.96, 9.43, 98, 281, 0, 
