Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 7749.4, 19336.1, 0, 5, 2946, 
5, 105.2, 8473.9, 20464.5, 328.9, 19.1, 2401.9, 
10, 19.5, 8038.6, 21424.9, 310.5, 17.66, 2293.2, 
15, -58.9, 7671.4, 22113.8, 325.8, 16.07, 2395.5, 
20, -50.8, 7319.3, 22597.4, 305.1, 15.42, 2524.3, 
25, -98.1, 7141.1, 23040.5, 313.7, 12.72, 2766.5, 
30, -23.2, 6969.1, 23449.6, 353.7, 12.09, 2957, 
35, -65.8, 6845.3, 23874.6, 320.6, 10.97, 3153.4, 
40, -108, 6805.3, 24365.5, 356.9, 9.68, 3381.6, 
45, -87, 6765, 24823.9, 355.9, 9.48, 3552.4, 
50, -30.5, 6760.2, 25192.5, 354.3, 9.54, 3747.4, 
55, -2.2, 6689.7, 25323.9, 213.1, 11.21, 3883.3, 
60, -51.6, 6702.8, 25566.3, 353.9, 10.4, 4053.5, 
65, -72.2, 6754.1, 25782.1, 342, 7.99, 4194.3, 
70, -52.7, 6780.6, 26104.1, 363.3, 6.72, 4245.7, 
75, -114.2, 6808.2, 26382.5, 377.5, 5.92, 4361.2, 
80, -64.1, 6868.7, 26611.7, 356.5, 4.78, 4486.9, 
